"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"138","前赤石山","review_required_no_grounding","true","summit-candidate:2b7cce23b57844a5","0.57","summit-candidate:e2bdd25969c7f122","0","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:e2bdd25969c7f122","false","14","0","0","no_usable_coordinate",""
"139","黒崎山","review_required_no_grounding","true","summit-candidate:541ec86327b86307","0.44","summit-candidate:02d59cd1260af017","0.23","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:541ec86327b86307","true","15","0","0","no_usable_coordinate",""
"143","中三方ヶ森","review_required_no_grounding","true","summit-candidate:17b2365d322cd022","0.57","summit-candidate:0c2609d9e7e31a00","0.11999999999999994","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:17b2365d322cd022","true","29","0","0","no_usable_coordinate",""
"144","古権現山","review_required_no_grounding","true","summit-candidate:0c2609d9e7e31a00","0.63","summit-candidate:bcf5d9d5a90e5cda","0","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:0c2609d9e7e31a00","true","22","0","0","no_usable_coordinate",""
"145","楢原山","review_required_no_grounding","true","summit-candidate:c7ac7ff98cacc074","0.63","summit-candidate:0c2609d9e7e31a00","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:c7ac7ff98cacc074","true","17","0","0","no_usable_coordinate",""
"146","西港山","review_required_no_grounding","true","summit-candidate:bf2b3499e08da2df","0.63","summit-candidate:5f001ac124f82ef6","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:bf2b3499e08da2df","true","14","0","0","no_usable_coordinate",""
"151","冨士山","review_required_no_grounding","true","summit-candidate:9d447faef6efe2ab","0.57","summit-candidate:0f09bdcc25daff65","0.36","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:9d447faef6efe2ab","true","22","0","0","no_usable_coordinate",""
"163","鹿島山","review_required_no_grounding","true","summit-candidate:e4fbd033b13d73ce","0.57","summit-candidate:22b4a5a5c856bf4d","0.2899999999999999","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:e4fbd033b13d73ce","true","25","0","0","no_usable_coordinate",""
"169","扇山","review_required_no_grounding","true","summit-candidate:9acc21860aa8a208","0.63","summit-candidate:23c112538ef91e0d","0.42000000000000004","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:9acc21860aa8a208","true","20","0","0","no_usable_coordinate",""
"173","近見山","review_required_no_grounding","true","summit-candidate:d5b708b4d3aa86a0","0.63","summit-candidate:3807e62715de33f9","0.35","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:d5b708b4d3aa86a0","true","23","0","0","no_usable_coordinate",""
