"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"504","鉢が森","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:51c8bc6a368c422c","false","1","0","0","stage21_supported_candidate_missing",""
"507","牛ヶ首","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:339138a4e53293da","false","1","0","0","stage21_supported_candidate_missing",""
"508","三石山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:f028aab45221cee6","false","1","0","0","stage21_supported_candidate_missing",""
"509","感応寺山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:0048d4d3a7981b80","false","1","0","0","stage21_supported_candidate_missing",""
"510","水無権現","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:4a22801b12460992","false","1","0","0","stage21_supported_candidate_missing",""
"514","棟山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:5f31b84e049f61fa","false","1","0","0","stage21_supported_candidate_missing",""
"515","星ヶ森","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:9669b668bebfc145","false","1","0","0","stage21_supported_candidate_missing",""
"516","草屋敷","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:f55ffb534aa2ae4c","false","1","0","0","stage21_supported_candidate_missing",""
"517","大熊山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:d1269170b687c5bc","false","1","0","0","stage21_supported_candidate_missing",""
"519","蒲山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:a0ef25e9a532b62e","false","1","0","0","stage21_supported_candidate_missing",""
"520","牛ノ峯","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:606168b97944fce5","false","1","0","0","stage21_supported_candidate_missing",""
"521","小森","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:0ff024bf702c13bb","false","1","0","0","stage21_supported_candidate_missing",""
"522","辻ヶ峰","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:6a1baa0667de8a9d","false","1","0","0","stage21_supported_candidate_missing",""
"523","常住","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:d5a6fcb592162088","false","1","0","0","stage21_supported_candidate_missing",""
"524","熊鷹山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:8078eb6cc96c519a","false","1","0","0","stage21_supported_candidate_missing",""
"525","櫛ヶ峰","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:282882317c3aab0b","false","1","0","0","stage21_supported_candidate_missing",""
"526","大旗山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:ee9d736a090185dd","false","1","0","0","stage21_supported_candidate_missing",""
"527","兵庫山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:e2c08955f9275289","false","1","0","0","stage21_supported_candidate_missing",""
"528","生之越","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:777bcc5c6ed2c27e","false","1","0","0","stage21_supported_candidate_missing",""
"529","玉取山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:0886436b79473a6c","false","1","0","0","stage21_supported_candidate_missing",""
"530","三ヶ森","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:5771cdd191c3861d","false","1","0","0","stage21_supported_candidate_missing",""
"531","扇山","review_required_stage21_supported_candidate_missing","true","summit-candidate:9acc21860aa8a208","0.32","","","usable","true","false","40649.3","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:02fa4cfab6fa90d3","false","1","0","0","stage21_supported_candidate_missing",""
