mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
458,遠見山,summit-candidate:a9b00b48e0c94eab,yamap_2026-01-31_13_52.gpx,高森山,631.8566666666667,322,309.86,0.67,3,3,0,false,true,medium,medium,low,low_priority,location_strong_match,宇和島市,,same_municipality,宇和島市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=遠見山(#458); candidate=summit-candidate:a9b00b48e0c94eab; track=""高森山""; score=0.57; name_tier=strong; ele_diff=309.86m; loc=strong_overlap; act_conf=high"
459,高森山,summit-candidate:a9b00b48e0c94eab,yamap_2026-01-31_13_52.gpx,高森山,631.8566666666667,634,2.14,0.73,1,1,0.18,true,true,medium,high,medium,accept_candidate_after_map_check,boundary_plausible,西予市,,adjacent_municipality,宇和島市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_1_but_ambiguous,clear_mutual_top1,"mountain=高森山(#459); candidate=summit-candidate:a9b00b48e0c94eab; track=""高森山""; score=0.68; name_tier=strong; ele_diff=2.14m; loc=mismatch_warning; act_conf=high"
459,高森山,summit-candidate:19ab381ef6c337af,yamap_2026-02-22_07_32.gpx,高森山・町木山・寒台山・鎧掛山,993.1336935716172,634,359.13,0.55,2,6,0,false,false,low,medium,high,check_location_warning,boundary_plausible,西予市,,adjacent_municipality,大洲市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_3_with_evidence,boundary_plausible,"mountain=高森山(#459); candidate=summit-candidate:19ab381ef6c337af; track=""高森山・町木山・寒台山・鎧掛山""; score=0.5; name_tier=strong; ele_diff=359.13m; loc=mismatch_warning; act_conf=high"
459,高森山,summit-candidate:5f31b84e049f61fa,yamap_2026-02-22_07_32.gpx,高森山・町木山・寒台山・鎧掛山,798.325694253476,634,164.33,0.55,3,6,0.05,false,false,low,high,high,resolve_conflict,boundary_plausible,西予市,,adjacent_municipality,大洲市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,"mountain=高森山(#459); candidate=summit-candidate:5f31b84e049f61fa; track=""高森山・町木山・寒台山・鎧掛山""; score=0.5; name_tier=strong; ele_diff=164.33m; loc=mismatch_warning; act_conf=high"
460,牛の峰,summit-candidate:bd8fda9e743f2008,yamap_2026-02-07_07_21.gpx,牛の峰・尻高峰,681.2333333333333,660,21.23,0.79,1,1,0.12,true,true,medium,medium,medium,accept_candidate_after_map_check,location_strong_match,大洲市,,same_municipality,大洲市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous|priority_reduced_strong_match_mutual_top1,clear_mutual_top1,"mountain=牛の峰(#460); candidate=summit-candidate:bd8fda9e743f2008; track=""牛の峰・尻高峰""; score=0.69; name_tier=strong; ele_diff=21.23m; loc=strong_overlap; act_conf=high"
460,牛の峰,summit-candidate:6adfa15b8dbd8966,yamap_2026-02-07_07_21.gpx,牛の峰・尻高峰,756.9766666666668,660,96.98,0.67,2,1,0.11,false,true,medium,medium,low,low_priority,location_strong_match,大洲市,,same_municipality,大洲市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=牛の峰(#460); candidate=summit-candidate:6adfa15b8dbd8966; track=""牛の峰・尻高峰""; score=0.57; name_tier=strong; ele_diff=96.98m; loc=strong_overlap; act_conf=high"
460,牛の峰,summit-candidate:6b19d2116121b615,yamap_2026-02-07_11_17.gpx,鞍掛山,624.4499999999999,660,35.55,0.56,3,2,0.12,false,true,medium,medium,low,low_priority,location_uncertain_keep,大洲市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=牛の峰(#460); candidate=summit-candidate:6b19d2116121b615; track=""鞍掛山""; score=0.56; name_tier=strong; ele_diff=35.55m; loc=mismatch_warning; act_conf=high"
461,尻高峰,summit-candidate:6adfa15b8dbd8966,yamap_2026-02-07_07_21.gpx,牛の峰・尻高峰,756.9766666666668,566,190.98,0.67,1,2,0,false,true,medium,high,high,resolve_conflict,location_strong_match,大洲市,,same_municipality,大洲市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous,not_mutual_top1,"mountain=尻高峰(#461); candidate=summit-candidate:6adfa15b8dbd8966; track=""牛の峰・尻高峰""; score=0.57; name_tier=strong; ele_diff=190.98m; loc=strong_overlap; act_conf=high"
461,尻高峰,summit-candidate:bd8fda9e743f2008,yamap_2026-02-07_07_21.gpx,牛の峰・尻高峰,681.2333333333333,566,115.23,0.67,2,2,0.17,false,true,medium,medium,high,check_close_alternatives,location_strong_match,大洲市,,same_municipality,大洲市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,small_score_gap,"mountain=尻高峰(#461); candidate=summit-candidate:bd8fda9e743f2008; track=""牛の峰・尻高峰""; score=0.57; name_tier=strong; ele_diff=115.23m; loc=strong_overlap; act_conf=high"
461,尻高峰,summit-candidate:6b19d2116121b615,yamap_2026-02-07_11_17.gpx,鞍掛山,624.4499999999999,566,58.45,0.5,3,3,0.1,false,true,low,medium,low,low_priority,location_uncertain_keep,大洲市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=尻高峰(#461); candidate=summit-candidate:6b19d2116121b615; track=""鞍掛山""; score=0.5; name_tier=strong; ele_diff=58.45m; loc=mismatch_warning; act_conf=high"
