summit_candidate_id,source_gpx_basename,track_name,candidate_lat,candidate_lon,candidate_ele_m,top1_mountain_count,top3_mountain_count,top1_mountain_nos,top1_mountain_names,top3_mountain_nos,top3_mountain_names,max_score,score_spread,suggested_review_bucket,notes
summit-candidate:edac81b361bdc70c,yamap_2024-12-01_06_40.gpx,唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山,34.0123819,133.6793921,591.7966666666667,7,10,331|332|333|334|335|337|339,五郎丸|高丸|金見山|木峰|天狗森|龍王山|城山,331|332|333|334|335|336|337|338|339|507,五郎丸|高丸|金見山|木峰|天狗森|唐谷山|龍王山|大谷山|城山|牛ヶ首,0.78,0.51,resolve_conflict,top1_count=7; top3_count=10; max_score=0.78
summit-candidate:5aff666aa93b3a17,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,33.8841169,132.7626522,181.12,2,6,49|50,大久保山|八里ヶ峠,23|49|50|51|53|56,天神山|大久保山|八里ヶ峠|中坂山|室岡山|潮見山,0.85,0.78,resolve_conflict,top1_count=2; top3_count=6; max_score=0.85
summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),33.8423734,132.8811963,719.2533333333334,2,6,3|4,高森山|岩伽羅山,3|4|5|6|12|479,高森山|岩伽羅山|衣掛山|吉山(吉山城址)|経座ヶ森|四本松,0.75,0.48,resolve_conflict,top1_count=2; top3_count=6; max_score=0.75
summit-candidate:0886436b79473a6c,yamap_2024-10-14_04_48.gpx,三ッ足山・カガマシ山・橡尾山・笹ヶ峰,33.8803402,133.6037486,1340.51,2,5,326|529,カガマシ山|玉取山,325|326|327|328|529,三ッ足山|カガマシ山|橡尾山|笹ヶ峰|玉取山,0.85,0.58,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:17c3649ad9b147ce,yamap_2026-01-07_07_05.gpx,御在所山,33.4376592,132.6335849,665.1833333333333,2,5,27|449,杉立山|御在所山,27|73|449|450|509,杉立山|御在所山|御在所山|高雄山|感応寺山,0.75,0.48,resolve_conflict,top1_count=2; top3_count=5; max_score=0.75
summit-candidate:1ed32ce6414c2781,yamap_2022-12-25_13_36.gpx,医王山,33.9801287,133.0507842,98.37666666666667,2,5,175|177,医王山|佐々久山,174|175|176|177|505,唐子山|医王山|永納山(永納山城址)|佐々久山|高山寺山,0.75,0.48,resolve_conflict,top1_count=2; top3_count=5; max_score=0.75
summit-candidate:24dc6cf37ce4e715,yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,33.7661685,132.9049612,646.4833333333332,2,5,20|21,ケタ山|大磨山,18|19|20|21|22,塩ヶ森|番駄ヶ森|ケタ山|大磨山|鍵山（象ヶ森）,0.85,0.78,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:3259dfe3d9ce60c5,yamap_2022-03-23_07_38.gpx,明神山・潮見山,33.816673,132.8428244,152.25333333333333,2,5,54|55,潮見山|明神山,45|54|55|424|485,菊ヶ森|潮見山|明神山|千秋寺山|野津子山,0.85,0.78,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:3c28b6ebd5a97155,yamap_2024-03-16_13_58.gpx,斎藤山,33.5944697,132.4784739,472.13310176947385,2,5,282|284,張木山|斎藤山,281|282|283|284|496,トギ|張木山|高手山|斎藤山|鼻欠山,0.85,0.78,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:40260be41579ab8f,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,33.9922702,132.7992645,299.12666666666667,2,5,10|372,恵良山|亀老山,9|10|303|372|379,腰折山|恵良山|名石山|亀老山|高穴山,0.85,0.78,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:40e090ce41a89b55,yamap_2024-06-08_08_42.gpx,沓掛山・黒森山,33.8493229,133.2701244,1690.4033333333334,2,5,306|307,黒森山|沓掛山,94|226|306|307|498,自念子ノ頭|黒森山|黒森山|沓掛山|黒森,0.75,0.48,resolve_conflict,top1_count=2; top3_count=5; max_score=0.75
summit-candidate:4416099ca0f9da08,yamap_2024-12-22_10_25.gpx,笹ヶ平山,33.7478819,132.7506238,260.1933333333333,2,5,349|352,八倉山|笹ヶ平山,241|349|350|351|352,ベツソ山|八倉山|行道山|水晶ヶ森|笹ヶ平山,0.85,0.58,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:54cf4155ab259d9d,yamap_2022-02-26_07_43.gpx,御岳山,33.7480679,132.8711955,430.59999999999997,2,5,35|36,御岳山|石槌山,35|36|101|229|255,御岳山|石槌山|鷲ヶ頭山|船野山|竜門山,0.85,0.58,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:588c967023117267,yamap_2022-09-26_14_04.gpx,鏡山,34.2634531,132.9718171,201.48000000000002,2,5,132|304,鏡山|青刈山,131|132|150|304|308,三本榎|鏡山|愛ノ山|青刈山|二反山,0.62,0.35,resolve_conflict,top1_count=2; top3_count=5; max_score=0.62
summit-candidate:62d2811f5d1a9f29,yamap_2025-03-30_07_01.gpx,竜王山,33.4256595,132.7088906,459.07666666666665,2,5,397|400,竜王山|愛の森,35|397|400|401|402,御岳山|竜王山|愛の森|京の森|大迫山,0.75,0.48,resolve_conflict,top1_count=2; top3_count=5; max_score=0.75
summit-candidate:71b10e23075edf20,yamap_2022-04-30_08_30.gpx,岩黒山・筒上山・手箱山,33.732243,133.160912,1863.226432016608,2,5,75|512,筒上山|黒山,74|75|76|107|512,岩黒山|筒上山|手箱山|面河の頭|黒山,0.85,0.53,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:78274ad93e160452,yamap_2026-03-01_06_45.gpx,剣ノ山・三傍示山・塩塚峰,33.8838209,133.660917,1152.4499999999998,2,5,472|473,剣ノ山|三傍示山,322|330|472|473|474,三の森|天堤山|剣ノ山|三傍示山|塩塚峰,0.85,0.58,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:afc2e407c1d6b464,yamap_2025-02-09_09_27.gpx,大頭山,34.1640532,133.047568,260.3866666666667,2,5,375|376,大頭山|高取山,373|374|375|376|377,カレイ山|念仏山|大頭山|高取山|八幡山,0.68,0.61,resolve_conflict,top1_count=2; top3_count=5; max_score=0.68
summit-candidate:bdfa250c89c1ca90,yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,33.8865639,132.7116504,168.98333333333335,2,5,31|34,西山|護摩ヶ森,31|32|33|34|484,西山|岩子山|経ヶ森|護摩ヶ森|軽ノ山,0.85,0.58,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:f55ffb534aa2ae4c,yamap_2026-02-22_07_32.gpx,高森山・町木山・寒台山・鎧掛山,33.5133814,132.7770265,825.9826876717713,2,5,467|516,高森山|草屋敷,164|467|468|470|516,出石山|高森山|町木山|鎧掛山|草屋敷,0.85,0.78,resolve_conflict,top1_count=2; top3_count=5; max_score=0.85
summit-candidate:09547fd48f24d064,yamap_2022-11-05_04_38.gpx,権現山・黒岳・エビラ山・二ッ岳,33.8858865,133.4078131,1672.3333333333333,2,4,161|162,エビラ山|二ッ岳,159|160|161|162,権現山|黒岳|エビラ山|二ッ岳,0.85,0.58,resolve_conflict,top1_count=2; top3_count=4; max_score=0.85
summit-candidate:118b217506eb653f,yamap_2026-03-21_07_01.gpx,雨乞山・妙見森,33.5274365,132.8527908,1334.4923924855789,2,4,490|491,妙見森|笹峠山,489|490|491|492,雨乞山|妙見森|笹峠山|雨霧山,0.85,0.78,resolve_conflict,top1_count=2; top3_count=4; max_score=0.85
summit-candidate:13b7a4bb8154974a,yamap_2024-03-10_07_12.gpx,夫婦山・白山・観音山・国見山・城山・御勧請山,33.8682654,132.7980997,336.02549564153543,2,4,276|280,白山|御勧請山,2|276|277|280,観音山|白山|観音山|御勧請山,0.85,0.78,resolve_conflict,top1_count=2; top3_count=4; max_score=0.85
summit-candidate:2a670286f545beb2,yamap_2023-04-09_09_08.gpx,菊ヶ森・餓鬼ヶ森,33.6772505,132.9121114,910.6433333333334,2,4,227|403,菊ヶ森|船山,227|228|403|493,菊ヶ森|餓鬼ヶ森|船山|三郷の辻,0.85,0.78,resolve_conflict,top1_count=2; top3_count=4; max_score=0.85
summit-candidate:2b7cce23b57844a5,yamap_2022-10-08_06_12.gpx,東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山,33.8752971,133.3737015,1699.1266666666668,2,4,239|240,東赤石山|八巻山,138|180|239|240,前赤石山|東山|東赤石山|八巻山,0.75,0.48,resolve_conflict,top1_count=2; top3_count=4; max_score=0.75
summit-candidate:2b833dfb6f3f84c1,yamap_2025-01-11_11_51.gpx,勝山,33.7282794,132.8388236,371.26,2,4,357|359,尉之山|勝山,95|357|358|359,勝山|尉之山|小山岳|勝山,0.79,0.72,resolve_conflict,top1_count=2; top3_count=4; max_score=0.79
summit-candidate:32c1cf967ab82dbe,yamap_2024-12-01_06_40.gpx,唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山,34.0356467,133.6297572,503.24333333333334,2,4,336|338,唐谷山|大谷山,28|336|338|442,岩柄山|唐谷山|大谷山|天道ヶ頭,0.68,0.41,resolve_conflict,top1_count=2; top3_count=4; max_score=0.68
