mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
314,宅並山,summit-candidate:5aff666aa93b3a17,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,181.12,200,18.88,0.44,7,19,0,false,false,low,high,high,resolve_conflict,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,"mountain=宅並山(#314); candidate=summit-candidate:5aff666aa93b3a17; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.34; name_tier=none; ele_diff=18.88m; loc=strong_overlap; act_conf=high"
314,宅並山,summit-candidate:82d3009a6c1b2511,yamap_2022-10-03_14_57.gpx,雄甲山・雌甲山,218.9593458353185,200,18.96,0.44,10,11,0.06,false,false,low,high,high,resolve_conflict,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,"mountain=宅並山(#314); candidate=summit-candidate:82d3009a6c1b2511; track=""雄甲山・雌甲山""; score=0.34; name_tier=none; ele_diff=18.96m; loc=strong_overlap; act_conf=high"
314,宅並山,summit-candidate:588c967023117267,yamap_2022-09-26_14_04.gpx,鏡山,201.48000000000002,200,1.48,0.38,11,10,0.05,false,false,low,high,high,resolve_conflict,boundary_plausible,松山市,,adjacent_municipality,今治市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,"mountain=宅並山(#314); candidate=summit-candidate:588c967023117267; track=""鏡山""; score=0.33; name_tier=none; ele_diff=1.48m; loc=mismatch_warning; act_conf=high"
314,宅並山,summit-candidate:9acc21860aa8a208,yamap_2022-12-12_10_30.gpx,扇山,192.99666666666667,200,7,0.28,14,9,0.01,false,false,low,low,high,check_location_warning,adjacent_but_deep_inside,松山市,,adjacent_municipality,砥部町,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,adjacent_but_deep_inside,adjacent_but_deep_inside,"mountain=宅並山(#314); candidate=summit-candidate:9acc21860aa8a208; track=""扇山""; score=0.33; name_tier=none; ele_diff=7m; loc=mismatch_warning; act_conf=high"
314,宅並山,summit-candidate:bf9808bbf86d5d73,yamap_2025-01-30_14_42.gpx,八堂山,191.83333333333334,200,8.17,0.13,18,19,0.06,false,false,low,deprioritized,high,check_location_warning,municipality_incompatible_strong,松山市,,non_adjacent_municipality,西条市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,incompatible_municipality,municipality_incompatible_strong,"mountain=宅並山(#314); candidate=summit-candidate:bf9808bbf86d5d73; track=""八堂山""; score=0.33; name_tier=none; ele_diff=8.17m; loc=mismatch_warning; act_conf=high"
314,宅並山,summit-candidate:f676e5a22f523492,yamap_2022-10-21_12_15.gpx,愛ノ山,211.39459610568747,200,11.39,0.07,20,24,,false,false,none,deprioritized,high,resolve_conflict,municipality_incompatible_strong,松山市,,non_adjacent_municipality,西条市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,incompatible_municipality,shared_candidate,"mountain=宅並山(#314); candidate=summit-candidate:f676e5a22f523492; track=""愛ノ山""; score=0.27; name_tier=none; ele_diff=11.39m; loc=mismatch_warning; act_conf=high"
315,岩屋山,summit-candidate:fa9a4432fbf76027,yamap_2026-01-18_06_03.gpx,大判山,791.2866666666665,786,5.29,0.28,6,4,0.01,false,false,low,low,high,check_location_warning,adjacent_but_deep_inside,久万高原町,,adjacent_municipality,西予市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,adjacent_but_deep_inside,adjacent_but_deep_inside,"mountain=岩屋山(#315); candidate=summit-candidate:fa9a4432fbf76027; track=""大判山""; score=0.33; name_tier=none; ele_diff=5.29m; loc=mismatch_warning; act_conf=high"
315,岩屋山,summit-candidate:5f31b84e049f61fa,yamap_2026-02-22_07_32.gpx,高森山・町木山・寒台山・鎧掛山,798.325694253476,786,12.33,0.27,7,27,0,false,false,none,high,high,resolve_conflict,location_uncertain_keep,久万高原町,,non_adjacent_municipality,大洲市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,"mountain=岩屋山(#315); candidate=summit-candidate:5f31b84e049f61fa; track=""高森山・町木山・寒台山・鎧掛山""; score=0.27; name_tier=none; ele_diff=12.33m; loc=mismatch_warning; act_conf=high"
315,岩屋山,summit-candidate:9669b668bebfc145,yamap_2023-04-18_10_53.gpx,黒滝山・木久ヶ森,811.0092135228584,786,25.01,0.22,10,8,0,false,false,none,low,high,resolve_conflict,adjacent_but_deep_inside,久万高原町,,adjacent_municipality,西条市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,adjacent_but_deep_inside,shared_candidate,"mountain=岩屋山(#315); candidate=summit-candidate:9669b668bebfc145; track=""黒滝山・木久ヶ森""; score=0.27; name_tier=none; ele_diff=25.01m; loc=mismatch_warning; act_conf=high"
315,岩屋山,summit-candidate:090f7fa4be89ec5e,yamap_2025-01-26_07_09.gpx,天が森・浄心山・銅が鳴,782.4408357907463,786,3.56,0.13,12,10,0,false,false,low,deprioritized,high,resolve_conflict,municipality_incompatible_strong,久万高原町,,non_adjacent_municipality,八幡浜市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,incompatible_municipality,shared_candidate,"mountain=岩屋山(#315); candidate=summit-candidate:090f7fa4be89ec5e; track=""天が森・浄心山・銅が鳴""; score=0.33; name_tier=none; ele_diff=3.56m; loc=mismatch_warning; act_conf=high"
