"mountain_no","mountain_name","summit_candidate_id","candidate_rank","candidate_review_classification","grounding_assisted_candidate_score","grounding_match_status","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","source_gpx_basename","track_name","stage21_link_status","review_reason_codes","notes"
"223","物住頭","summit-candidate:53d0e375c60814f6","1","review_deferred_grounding_supported_top1","0.6","weak_grounding_nearby","238","weak_grounding_nearby","177","yamap_2022-11-26_04_41.gpx","銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平","not_in_stage21","","mountain=物住頭(#223); candidate=summit-candidate:53d0e375c60814f6; grounding_match=weak_grounding_nearby; score=0.6"
"223","物住頭","summit-candidate:a6379cb2ebc004fb","2","deferred_alternative","0.504","grounding_contradicted_or_unrelated","4297.2","grounding_contradicted_or_unrelated","","yamap_2023-03-29_05_31.gpx","えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山","not_in_stage21","grounding_far_from_candidate","mountain=物住頭(#223); candidate=summit-candidate:a6379cb2ebc004fb; grounding_match=grounding_contradicted_or_unrelated; score=0.504"
"223","物住頭","summit-candidate:61a5956a49a7ace2","3","deferred_alternative","0.504","grounding_contradicted_or_unrelated","4302.5","grounding_contradicted_or_unrelated","","yamap_2022-10-08_06_12.gpx","東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山","not_in_stage21","grounding_far_from_candidate","mountain=物住頭(#223); candidate=summit-candidate:61a5956a49a7ace2; grounding_match=grounding_contradicted_or_unrelated; score=0.504"
"223","物住頭","summit-candidate:5104c47f17101d63","4","deferred_alternative","0.456","grounding_contradicted_or_unrelated","3131.7","grounding_contradicted_or_unrelated","","yamap_2022-10-08_06_12.gpx","東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山","not_in_stage21","grounding_far_from_candidate","mountain=物住頭(#223); candidate=summit-candidate:5104c47f17101d63; grounding_match=grounding_contradicted_or_unrelated; score=0.456"
"223","物住頭","summit-candidate:473a62086144ac33","5","deferred_alternative","0.456","grounding_contradicted_or_unrelated","3142.1","grounding_contradicted_or_unrelated","","yamap_2023-03-29_05_31.gpx","えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山","not_in_stage21","grounding_far_from_candidate","mountain=物住頭(#223); candidate=summit-candidate:473a62086144ac33; grounding_match=grounding_contradicted_or_unrelated; score=0.456"
"223","物住頭","summit-candidate:e2bdd25969c7f122","6","deferred_alternative","0.456","grounding_contradicted_or_unrelated","4671.6","grounding_contradicted_or_unrelated","","yamap_2022-10-08_06_12.gpx","東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山","not_in_stage21","grounding_far_from_candidate","mountain=物住頭(#223); candidate=summit-candidate:e2bdd25969c7f122; grounding_match=grounding_contradicted_or_unrelated; score=0.456"
"223","物住頭","summit-candidate:2b7cce23b57844a5","7","deferred_alternative","0.36","grounding_contradicted_or_unrelated","5483.9","grounding_contradicted_or_unrelated","","yamap_2022-10-08_06_12.gpx","東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山","not_in_stage21","grounding_far_from_candidate","mountain=物住頭(#223); candidate=summit-candidate:2b7cce23b57844a5; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"223","物住頭","summit-candidate:339138a4e53293da","8","deferred_alternative","0.36","grounding_contradicted_or_unrelated","5879.4","grounding_contradicted_or_unrelated","","yamap_2023-03-29_05_31.gpx","えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山","not_in_stage21","grounding_far_from_candidate","mountain=物住頭(#223); candidate=summit-candidate:339138a4e53293da; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"223","物住頭","summit-candidate:4311f3ae9948ea08","9","deferred_alternative","0.36","grounding_contradicted_or_unrelated","6258.8","grounding_contradicted_or_unrelated","","yamap_2023-03-29_05_31.gpx","えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山","not_in_stage21","grounding_far_from_candidate","mountain=物住頭(#223); candidate=summit-candidate:4311f3ae9948ea08; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"234","石鎚山","summit-candidate:22e40e9eb117a033","1","review_deferred_grounding_supported_top1","0.6","weak_grounding_nearby","129.4","weak_grounding_nearby","452.1","yamap_2024-05-03_08_45.gpx","面河山","not_in_stage21","","mountain=石鎚山(#234); candidate=summit-candidate:22e40e9eb117a033; grounding_match=weak_grounding_nearby; score=0.6"
"234","石鎚山","summit-candidate:3b98b67bbe0fe0f9","2","deferred_alternative","0.448","grounding_contradicted_or_unrelated","1755.6","grounding_contradicted_or_unrelated","","yamap_2022-05-22_08_09.gpx","石鎚山・天狗岳・南尖峰","not_in_stage21","grounding_far_from_candidate","mountain=石鎚山(#234); candidate=summit-candidate:3b98b67bbe0fe0f9; grounding_match=grounding_contradicted_or_unrelated; score=0.448"
"234","石鎚山","summit-candidate:88555c5557efeb46","3","deferred_alternative","0.448","grounding_contradicted_or_unrelated","1877","grounding_contradicted_or_unrelated","","yamap_2022-09-24_08_33.gpx","石鎚山","not_in_stage21","grounding_far_from_candidate","mountain=石鎚山(#234); candidate=summit-candidate:88555c5557efeb46; grounding_match=grounding_contradicted_or_unrelated; score=0.448"
"234","石鎚山","summit-candidate:19713e48698f3e2a","4","deferred_alternative","0.448","grounding_contradicted_or_unrelated","1893.3","grounding_contradicted_or_unrelated","","yamap_2025-09-07_08_00.gpx","鶴ノ子ノ頭・石鎚山","not_in_stage21","grounding_far_from_candidate","mountain=石鎚山(#234); candidate=summit-candidate:19713e48698f3e2a; grounding_match=grounding_contradicted_or_unrelated; score=0.448"
"234","石鎚山","summit-candidate:65906dbbd6e5b747","5","deferred_alternative","0.36","grounding_contradicted_or_unrelated","2338.1","grounding_contradicted_or_unrelated","","yamap_2025-09-07_08_00.gpx","鶴ノ子ノ頭・石鎚山","not_in_stage21","grounding_far_from_candidate","mountain=石鎚山(#234); candidate=summit-candidate:65906dbbd6e5b747; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"234","石鎚山","summit-candidate:bca203164e26ce6a","6","deferred_alternative","0.352","grounding_contradicted_or_unrelated","1941.1","grounding_contradicted_or_unrelated","","yamap_2022-07-02_07_43.gpx","石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭","not_in_stage21","grounding_far_from_candidate","mountain=石鎚山(#234); candidate=summit-candidate:bca203164e26ce6a; grounding_match=grounding_contradicted_or_unrelated; score=0.352"
"234","石鎚山","summit-candidate:fe43b0b6aa90cb8f","7","deferred_alternative","0.304","grounding_contradicted_or_unrelated","1976.5","grounding_contradicted_or_unrelated","","yamap_2022-07-02_07_43.gpx","石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭","not_in_stage21","grounding_far_from_candidate","mountain=石鎚山(#234); candidate=summit-candidate:fe43b0b6aa90cb8f; grounding_match=grounding_contradicted_or_unrelated; score=0.304"
"234","石鎚山","summit-candidate:846b096132c533d6","8","deferred_alternative","0.304","grounding_contradicted_or_unrelated","2515.6","grounding_contradicted_or_unrelated","","yamap_2022-07-02_07_43.gpx","石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭","not_in_stage21","grounding_far_from_candidate","mountain=石鎚山(#234); candidate=summit-candidate:846b096132c533d6; grounding_match=grounding_contradicted_or_unrelated; score=0.304"
"341","秋葉山","summit-candidate:61304308f9a58d0d","1","review_deferred_grounding_supported_top1","0.6","weak_grounding_nearby","236.3","weak_grounding_nearby","63.4","yamap_2026-01-11_07_50.gpx","黒岩岳","not_in_stage21","","mountain=秋葉山(#341); candidate=summit-candidate:61304308f9a58d0d; grounding_match=weak_grounding_nearby; score=0.6"
"341","秋葉山","summit-candidate:23316af255d30882","2","deferred_alternative","0.504","grounding_contradicted_or_unrelated","4377.1","grounding_contradicted_or_unrelated","","yamap_2024-12-08_06_59.gpx","本尊山・秋葉山・立烏帽子山・明神山","not_in_stage21","grounding_far_from_candidate","mountain=秋葉山(#341); candidate=summit-candidate:23316af255d30882; grounding_match=grounding_contradicted_or_unrelated; score=0.504"
"341","秋葉山","summit-candidate:0bd3d051cdb972fd","3","deferred_alternative","0.504","grounding_contradicted_or_unrelated","4838.8","grounding_contradicted_or_unrelated","","yamap_2024-12-08_06_59.gpx","本尊山・秋葉山・立烏帽子山・明神山","not_in_stage21","grounding_far_from_candidate","mountain=秋葉山(#341); candidate=summit-candidate:0bd3d051cdb972fd; grounding_match=grounding_contradicted_or_unrelated; score=0.504"
"341","秋葉山","summit-candidate:f12898f5821b63b8","4","deferred_alternative","0.36","grounding_contradicted_or_unrelated","4518.7","grounding_contradicted_or_unrelated","","yamap_2024-12-08_06_59.gpx","本尊山・秋葉山・立烏帽子山・明神山","not_in_stage21","grounding_far_from_candidate","mountain=秋葉山(#341); candidate=summit-candidate:f12898f5821b63b8; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"375","大頭山","summit-candidate:d456af62868c5044","1","review_deferred_grounding_supported_top1","0.645","weak_grounding_nearby","137.5","weak_grounding_nearby","4.6","yamap_2025-03-10_08_18.gpx","姫政山","not_in_stage21","grounding_municipality_mismatch","mountain=大頭山(#375); candidate=summit-candidate:d456af62868c5044; grounding_match=weak_grounding_nearby; score=0.645"
"375","大頭山","summit-candidate:afc2e407c1d6b464","2","deferred_alternative","0.448","grounding_contradicted_or_unrelated","4095.6","grounding_contradicted_or_unrelated","","yamap_2025-02-09_09_27.gpx","大頭山","not_in_stage21","grounding_far_from_candidate","mountain=大頭山(#375); candidate=summit-candidate:afc2e407c1d6b464; grounding_match=grounding_contradicted_or_unrelated; score=0.448"
"392","高山","summit-candidate:c9aa57cdeb1b49fa","1","review_deferred_grounding_supported_top1","0.656","weak_grounding_nearby","186.5","weak_grounding_nearby","43.7","yamap_2025-03-20_08_27.gpx","高山・大里山・泰ノ山","not_in_stage21","grounding_municipality_mismatch","mountain=高山(#392); candidate=summit-candidate:c9aa57cdeb1b49fa; grounding_match=weak_grounding_nearby; score=0.656"
"392","高山","summit-candidate:8ff6361109e5ed5c","2","deferred_alternative","0.4","grounding_contradicted_or_unrelated","2547.2","grounding_contradicted_or_unrelated","","yamap_2025-03-20_08_27.gpx","高山・大里山・泰ノ山","not_in_stage21","grounding_far_from_candidate","mountain=高山(#392); candidate=summit-candidate:8ff6361109e5ed5c; grounding_match=grounding_contradicted_or_unrelated; score=0.4"
"392","高山","summit-candidate:101c1b0635c0bec0","3","deferred_alternative","0.4","grounding_contradicted_or_unrelated","31593.5","grounding_contradicted_or_unrelated","","yamap_2022-12-25_10_09.gpx","高山","not_in_stage21","grounding_far_from_candidate","mountain=高山(#392); candidate=summit-candidate:101c1b0635c0bec0; grounding_match=grounding_contradicted_or_unrelated; score=0.4"
"392","高山","summit-candidate:fe8f624bdaa57afd","4","deferred_alternative","0.304","grounding_contradicted_or_unrelated","1118.6","grounding_contradicted_or_unrelated","","yamap_2025-03-20_08_27.gpx","高山・大里山・泰ノ山","not_in_stage21","grounding_far_from_candidate","mountain=高山(#392); candidate=summit-candidate:fe8f624bdaa57afd; grounding_match=grounding_contradicted_or_unrelated; score=0.304"
"392","高山","summit-candidate:98457196a66e294d","5","deferred_alternative","0.304","grounding_contradicted_or_unrelated","1649.7","grounding_contradicted_or_unrelated","","yamap_2025-03-20_08_27.gpx","高山・大里山・泰ノ山","not_in_stage21","grounding_far_from_candidate","mountain=高山(#392); candidate=summit-candidate:98457196a66e294d; grounding_match=grounding_contradicted_or_unrelated; score=0.304"
