No,山名,標高,登頂回数,YAMAP link,難易度ランク,エントリーコースお勧め山,GPS,市町村・島,年,シカ,月,備考,分県登山ガイド（2008）,分県登山ガイド（2016）,四国の1000m峰（2015）,四国百山,百名山,愛媛ゆうゆう山歩き
105,鞍瀬ノ頭,"1,889",1,https://yamap.com/activities/18250101,3,,,久万高原町,2022,,7月,,,,,,,
106,二ノ森,"1,930",1,https://yamap.com/activities/18250101,3,,,久万高原町,2022,,7月,,〇,〇,〇,★,☆,★
107,面河の頭,"1,866",1,https://yamap.com/activities/18250101,3,,,久万高原町,2022,,7月,,,,,,,
108,西ノ冠岳,"1,890",1,https://yamap.com/activities/18250101,3,,,久万高原町,2022,,7月,,,,〇,,,
109,西黒森,"1,861",1,https://yamap.com/activities/18371502,2,,,西条市,2022,,7月,,,,〇,★,☆,★
110,小富士,282,1,https://yamap.com/activities/18427906,1,〇,,興居島,2022,,7月,,〇,〇,,,,★
111,龍石山,32,1,https://yamap.com/activities/18428061,1,,,興居島,2022,,7月,,,,,,,
112,子持山,123,1,https://yamap.com/activities/18543106,1,,,興居島,2022,,7月,,,,,,,
113,大峰ヶ台,141,2,https://yamap.com/activities/19164431,1,,,松山市,2022,,8月,,,,,,,
114,世田山,339,1,https://yamap.com/activities/19222937,1,〇,,今治市,2022,,8月,,〇,〇,,,,
115,笠松山,357,1,https://yamap.com/activities/19222937,1,〇,,今治市,2022,,8月,,〇,〇,,,,★
116,北三方ヶ森,978,1,https://yamap.com/activities/19236411,2,,,松山市,2022,〇,8月,,〇,〇,,,,★
117,大友山,407,1,https://yamap.com/activities/19400534,3,,,松山市,2022,,9月,,,,,,,
118,湯築山,71,1,https://yamap.com/activities/19437997,1,,,松山市,2022,,9月,,,,,,,
119,寒風山,"1,762",1,https://yamap.com/activities/19457807,2,,,西条市,2022,〇,9月,,〇,〇,〇,★,☆,★
120,ちち山,"1,855",2,https://yamap.com/activities/48114780,3,,,西条市,2022,〇,9月,,,〇,〇,,,
121,笹ヶ峰,"1,860",2,https://yamap.com/activities/48114780,3,,,西条市,2022,〇,9月,,〇,〇,〇,★,☆,★
122,松軒山,190,1,https://yamap.com/activities/19588038,1,,,愛南町,2022,,9月,,,,,,,
123,三山,325,1,https://yamap.com/activities/19600002,1,,,弓削島,2022,,9月,,,,,,,
124,伊勢山,57,1,https://yamap.com/activities/19600557,1,,,弓削島,2022,,9月,,,,,,,
125,久司山,142,1,https://yamap.com/activities/19601222,3,,,弓削島,2022,,9月,,,,,,,
126,石灰山,216,1,https://yamap.com/activities/19604820,3,,,弓削島,2022,,9月,,,,,,,
127,古法皇山,279,1,https://yamap.com/activities/19604820,3,,,弓削島,2022,,9月,,,,,,,
128,狩江権現山,464,1,https://yamap.com/activities/19698405,1,〇,,西予市,2022,,9月,,,,,,,
129,極山,561,1,https://yamap.com/activities/19698830,1,,,西予市,2022,,9月,,,,,,,
130,高文殊山,221,1,https://yamap.com/activities/19708205,1,〇,,四国中央市,2022,,9月,,,,,,,
131,三本榎,256,1,https://yamap.com/activities/19830861,4,,,大三島,2022,,9月,,,,,,,
132,鏡山,212,1,https://yamap.com/activities/19833941,3,,,大三島,2022,,9月,,,,,,,
133,戸祇御前山,946,1,https://yamap.com/activities/19911171,3,,,鬼北町,2022,〇,10月,,,〇,,,,★
134,雄甲山,239,1,https://yamap.com/activities/20017361,1,,,松山市,2022,,10月,,,,,,,
135,雌甲山,189,1,https://yamap.com/activities/20017361,1,,,松山市,2022,,10月,,,,,,,
136,泉ガ森,755,1,https://yamap.com/activities/20029187,1,〇,,鬼北町,2022,〇,10月,,,〇,,,,★
137,東山,"1,392",1,https://yamap.com/activities/21698197,1,,,松山市,2022,,10月,,,,,,,
138,前赤石山,"1,677",1,https://yamap.com/activities/20086190,4,,,新居浜市,2022,〇,10月,,,,〇,,,
139,黒崎山,57,1,https://yamap.com/activities/20172197,2,,,興居島,2022,,10月,,,,,,,
140,高戸山,115,1,https://yamap.com/activities/20211117,2,,,興居島,2022,,10月,,,,,,,
141,犬吠山,124,1,https://yamap.com/activities/20212951,2,,,興居島,2022,,10月,,,,,,,
142,泰の山,115,1,https://yamap.com/activities/20216474,2,,,興居島,2022,,10月,,,,,,,
143,中三方ヶ森,"1,229",1,https://yamap.com/activities/20299413,3,,,今治市,2022,〇,10月,,,,,,,
144,古権現山,"1,003",1,https://yamap.com/activities/20299413,3,,,今治市,2022,〇,10月,,,,,,,
145,楢原山,"1,041",1,https://yamap.com/activities/20299413,1,,,今治市,2022,〇,10月,,〇,〇,〇,★,☆,★
146,西港山,52,1,https://yamap.com/activities/20348452,1,,,松山市,2022,,10月,,,,,,,
147,大丸山,76,1,https://yamap.com/activities/20348452,1,,,松山市,2022,,10月,,,,,,,
148,港山,42,1,https://yamap.com/activities/20348452,1,,,松山市,2022,,10月,,,,,,,
149,すくも山,41,1,https://yamap.com/activities/20370835,1,,,西条市,2022,,10月,,,,,,,
150,愛ノ山,198,1,https://yamap.com/activities/20375635,1,,,西条市,2022,〇,10月,,,,,,,
151,冨士山,320,1,https://yamap.com/activities/20527420,1,〇,,大洲市,2022,,10月,,,,,,,
152,割石峠山,"1,037",1,https://yamap.com/activities/20542185,2,,,東温市,2022,〇,10月,,,,,,,
153,石墨山,"1,456",1,https://yamap.com/activities/20542185,2,,,東温市,2022,〇,10月,,〇,〇,〇,★,☆,★
