mountain_no,mountain_name,category,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_match_status,top_candidate_generation_strategy,top_source_gpx_basename,top_track_name,top_candidate_lat,top_candidate_lon,top_candidate_ele_m,mountain_csv_lat,mountain_csv_lon,mountain_elevation_m,grounding_status,grounding_distance_m,grounding_municipality,candidate_municipality,municipality_compatibility,name_evidence_tier,elevation_diff_m,csv_coordinate_distance_m,activity_link_summary,needs_human_review,review_reason_codes,notes
11,皿ヶ森,v3_conflict_case,2,summit-candidate:59c561a08189d6b9,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,NaN,NaN,,,,633,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
12,経座ヶ森,v3_conflict_case,2,summit-candidate:59c561a08189d6b9,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,NaN,NaN,,,,735,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
13,谷上山,v3_conflict_case,5,summit-candidate:0eff3d1ea2b48d73,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,NaN,NaN,,,,455,,,,伊予市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
14,権現山,v3_conflict_case,22,summit-candidate:0eff3d1ea2b48d73,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,NaN,NaN,,,,479,,,,伊予市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
15,白滝山,v3_conflict_case,5,summit-candidate:0eff3d1ea2b48d73,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,NaN,NaN,,,,504,,,,伊予市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
16,障子山,v3_conflict_case,5,summit-candidate:0eff3d1ea2b48d73,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,NaN,NaN,,,,885,,,,伊予市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
17,伽藍山,v3_conflict_case,2,summit-candidate:40d5b4863907057a,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-09_10_01.gpx,佐田岬と伽藍山,NaN,NaN,,,,414,,,,伊方町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;near_tie_candidates_for_mountain,
18,塩ヶ森,v3_conflict_case,5,summit-candidate:0c210f0edfbda06f,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,NaN,NaN,,,,526,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
19,番駄ヶ森,v3_conflict_case,5,summit-candidate:0c210f0edfbda06f,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,NaN,NaN,,,,605,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
20,ケタ山,v3_conflict_case,5,summit-candidate:0c210f0edfbda06f,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,NaN,NaN,,,,659,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
21,大磨山,v3_conflict_case,5,summit-candidate:0c210f0edfbda06f,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,NaN,NaN,,,,648,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
22,鍵山（象ヶ森）,v3_conflict_case,5,summit-candidate:0c210f0edfbda06f,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,NaN,NaN,,,,804,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
23,天神山,v3_conflict_case,6,summit-candidate:452c10a1db199870,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,NaN,NaN,,,,200,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
24,御幸寺山,v3_conflict_case,2,summit-candidate:543b4550a3ef3e87,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-15_10_36.gpx,天神山・御幸寺山,NaN,NaN,,,,165,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
25,愛宕山,v3_conflict_case,3,summit-candidate:22b4a5a5c856bf4d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-16_11_57.gpx,愛宕山・常光寺山,NaN,NaN,,,,115,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
26,常光寺山,v3_conflict_case,2,summit-candidate:22b4a5a5c856bf4d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-16_11_57.gpx,愛宕山・常光寺山,NaN,NaN,,,,124,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
29,高山,v3_conflict_case,5,summit-candidate:8ff6361109e5ed5c,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-03-20_08_27.gpx,高山・大里山・泰ノ山,NaN,NaN,,,,463,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
31,西山,v3_conflict_case,10,summit-candidate:23c112538ef91e0d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,NaN,NaN,,,,172,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
32,岩子山,v3_conflict_case,6,summit-candidate:23c112538ef91e0d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,NaN,NaN,,,,181,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
33,経ヶ森,v3_conflict_case,2,summit-candidate:23c112538ef91e0d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,NaN,NaN,,,,200,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
34,護摩ヶ森,v3_conflict_case,5,summit-candidate:23c112538ef91e0d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,NaN,NaN,,,,170,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
35,御岳山,v3_conflict_case,2,summit-candidate:54cf4155ab259d9d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-02-26_07_43.gpx,御岳山,NaN,NaN,,,,438,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
40,ヌタノサコ,v3_conflict_case,3,summit-candidate:0ec3be2fa2295b82,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-03_10_47.gpx,奥之城山・ヌタノサコ,NaN,NaN,,,,514,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
41,城山,v3_conflict_case,28,summit-candidate:07834c521328cc1d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,NaN,NaN,,,,592,,,,砥部町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
42,水梨山,v3_conflict_case,5,summit-candidate:07834c521328cc1d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,NaN,NaN,,,,729,,,,砥部町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
43,向山,v3_conflict_case,5,summit-candidate:07834c521328cc1d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,NaN,NaN,,,,683,,,,砥部町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
44,稔山,v3_conflict_case,2,summit-candidate:622b899de76208ef,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-09_10_20.gpx,稔山,NaN,NaN,,,,917,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;near_tie_candidates_for_mountain,
45,菊ヶ森,v3_conflict_case,4,summit-candidate:ab8cf0f07d2a219d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-12_08_31.gpx,菊ヶ森,NaN,NaN,,,,151,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
47,倉谷山,v3_conflict_case,7,summit-candidate:079ae30d76fb11c2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-13_09_49.gpx,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,NaN,NaN,,,,420,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
48,芝ヶ峠,v3_conflict_case,7,summit-candidate:079ae30d76fb11c2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-13_09_49.gpx,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,NaN,NaN,,,,282,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
49,大久保山,v3_conflict_case,9,summit-candidate:452c10a1db199870,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,NaN,NaN,,,,175,,NaN,伊予市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
50,八里ヶ峠,v3_conflict_case,4,summit-candidate:452c10a1db199870,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,NaN,NaN,,,,182,,NaN,伊予市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
51,中坂山,v3_conflict_case,4,summit-candidate:452c10a1db199870,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,NaN,NaN,,,,98,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
52,天神山,v3_conflict_case,6,summit-candidate:452c10a1db199870,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,NaN,NaN,,,,47,,NaN,久万高原町,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
53,室岡山,v3_conflict_case,4,summit-candidate:452c10a1db199870,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,NaN,NaN,,,,42,,NaN,久万高原町,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
54,潮見山,v3_conflict_case,6,summit-candidate:3259dfe3d9ce60c5,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-23_07_38.gpx,明神山・潮見山,NaN,NaN,,,,123,,NaN,久万高原町,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
55,明神山,v3_conflict_case,9,summit-candidate:3259dfe3d9ce60c5,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-23_07_38.gpx,明神山・潮見山,NaN,NaN,,,,161,,NaN,久万高原町,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
56,潮見山,v3_conflict_case,6,summit-candidate:3259dfe3d9ce60c5,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-23_07_38.gpx,明神山・潮見山,NaN,NaN,,,,214,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
57,十門山(十門城址),v3_conflict_case,2,summit-candidate:555fd1e3be8780dd,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-03-25_12_12.gpx,十門山(十門城址)・ヨソ山,NaN,NaN,,,,683,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
58,ヨソ山,v3_conflict_case,4,summit-candidate:555fd1e3be8780dd,0.55,low,v3_conflict_case,fallback_name_only_review,yamap_2022-03-25_12_12.gpx,十門山(十門城址)・ヨソ山,NaN,NaN,,,,928,,NaN,東温市,東温市,compatible,strong,,,,true,municipality_mismatch;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
60,鬼ヶ城山,v3_conflict_case,5,summit-candidate:27c1036d4aa2230e,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,NaN,NaN,,,,1151,,,,宇和島市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
61,三本杭,v3_conflict_case,5,summit-candidate:27c1036d4aa2230e,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,NaN,NaN,,,,1226,,,,宇和島市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
62,八面山,v3_conflict_case,5,summit-candidate:27c1036d4aa2230e,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,NaN,NaN,,,,1166,,,,宇和島市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
63,大久保山,v3_conflict_case,9,summit-candidate:27c1036d4aa2230e,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,NaN,NaN,,,,1155,,NaN,新居浜市,宇和島市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
64,大月山,v3_conflict_case,2,summit-candidate:6ba0d3c6b0fb6b96,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-09_14_44.gpx,大月山・高縄山,NaN,NaN,,,,953,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
65,引地山,v3_conflict_case,2,summit-candidate:b06e13a9483478e5,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-15_11_52.gpx,皿ヶ嶺・引地山,NaN,NaN,,,,1027,,NaN,松山市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
66,東三方ヶ森,v3_conflict_case,4,summit-candidate:77bb5774f7fa012e,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-16_07_39.gpx,東三方ヶ森,NaN,NaN,,,,1233,,NaN,東温市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;near_tie_candidates_for_mountain,
68,三滝山,v3_conflict_case,1,summit-candidate:da65a16f23740e83,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-22_12_22.gpx,三滝山,NaN,NaN,,,,642,,,,西予市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
72,伊之子山,v3_conflict_case,2,summit-candidate:15c71a530dcecd2e,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-25_11_35.gpx,伊之子山・左谷ノ森,NaN,NaN,,,,872,,NaN,松山市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
73,御在所山,v3_conflict_case,2,summit-candidate:17c3649ad9b147ce,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2026-01-07_07_05.gpx,御在所山,NaN,NaN,,,,915,,NaN,西予市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
74,岩黒山,v3_conflict_case,4,summit-candidate:43f9d4fa36aabb79,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-30_08_30.gpx,岩黒山・筒上山・手箱山,NaN,NaN,,,,1746,,NaN,久万高原町,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
75,筒上山,v3_conflict_case,4,summit-candidate:43f9d4fa36aabb79,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-30_08_30.gpx,岩黒山・筒上山・手箱山,NaN,NaN,,,,1860,,NaN,久万高原町,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
76,手箱山,v3_conflict_case,4,summit-candidate:43f9d4fa36aabb79,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-04-30_08_30.gpx,岩黒山・筒上山・手箱山,NaN,NaN,,,,1806,,NaN,久万高原町,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
77,大川嶺,v3_conflict_case,2,summit-candidate:1ebd63d8e2790409,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-05-02_09_06.gpx,大川嶺・笠取山・ウバホド山,NaN,NaN,,,,1525,,NaN,久万高原町,久万高原町,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
78,笠取山,v3_conflict_case,2,summit-candidate:1ebd63d8e2790409,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-05-02_09_06.gpx,大川嶺・笠取山・ウバホド山,NaN,NaN,,,,1562,,NaN,久万高原町,久万高原町,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
79,ウバホド山,v3_conflict_case,2,summit-candidate:1ebd63d8e2790409,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-05-02_09_06.gpx,大川嶺・笠取山・ウバホド山,NaN,NaN,,,,1482,,NaN,久万高原町,久万高原町,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
80,うなめご,v3_conflict_case,3,summit-candidate:e7e4429a39f6359f,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-05-05_13_29.gpx,陣ヶ森・前々司山・うなめご,NaN,NaN,,,,1284,,NaN,東温市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
81,前々司山,v3_conflict_case,3,summit-candidate:e7e4429a39f6359f,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-05-05_13_29.gpx,陣ヶ森・前々司山・うなめご,NaN,NaN,,,,1253,,NaN,東温市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
82,陣ヶ森,v3_conflict_case,3,summit-candidate:e7e4429a39f6359f,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-05-05_13_29.gpx,陣ヶ森・前々司山・うなめご,NaN,NaN,,,,1207,,NaN,東温市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
83,寒川山,v3_conflict_case,3,summit-candidate:2f7dbee4c5bde53e,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-05-07_07_14.gpx,寒川山・鋸山・七々木山・豊受山・赤星山,NaN,NaN,,,,817,,NaN,四国中央市,四国中央市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
