mountain_no,mountain_name,summit_candidate_id,candidate_rank_for_mountain,candidate_rank_for_summit_candidate,combined_candidate_score,confidence,match_status,candidate_generation_strategy,source_gpx_basename,track_name,candidate_lat,candidate_lon,candidate_ele_m,grounding_distance_m,csv_coordinate_distance_m,elevation_diff_m,municipality_compatibility,name_evidence_tier,needs_human_review,review_reason_codes,notes
415,貝渚山,summit-candidate:403c0894babcf279,1,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-06-21_08_53.gpx,貝渚山・水なし山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
416,谷崎山,summit-candidate:0d157ed871f76807,1,1,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-07-06_07_10.gpx,谷崎山,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
417,東黒森,summit-candidate:20f1c44b99e3d708,1,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-07-06_09_43.gpx,東黒森,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
418,伊吹山,summit-candidate:e79e77da4bfd1f13,1,1,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-07-06_12_03.gpx,伊吹山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity,
419,小牛城,summit-candidate:ba78489e4d448645,1,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-08-15_10_51.gpx,小牛城,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
420,正木ノ森,summit-candidate:1c085703f9a891aa,1,1,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-08-15_12_44.gpx,正木ノ森,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
421,五段城,summit-candidate:00dfcd8bd36a1f00,1,1,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-08-15_11_47.gpx,五段城,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
422,天狗ノ森,summit-candidate:54dc6f5d29d60052,1,1,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-08-15_09_21.gpx,天狗ノ森 ,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity,
423,鶴ノ子ノ頭,summit-candidate:19713e48698f3e2a,1,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-07_08_00.gpx,鶴ノ子ノ頭・石鎚山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
423,鶴ノ子ノ頭,summit-candidate:65906dbbd6e5b747,2,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-07_08_00.gpx,鶴ノ子ノ頭・石鎚山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
