mountain_no,mountain_name,summit_candidate_id,grounding_assisted_candidate_score,grounding_match_status,grounding_distance_m,grounding_elevation_diff_m,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,candidate_rank_for_mountain,track_name,grounding_reason_codes
291,二箆山,summit-candidate:0a89128346167f6e,0.57,grounding_unavailable,,,33.62142,133.0520358,1158.3666666666668,1169,1,二箆山・西雑誌山,grounding_response_without_coordinate
291,二箆山,summit-candidate:67df63dc99cf8614,0.57,grounding_unavailable,,,33.6216493,133.061506,1190.45,1169,2,二箆山・西雑誌山,grounding_response_without_coordinate
291,二箆山,summit-candidate:09c1602c02ce7f78,0.45,grounding_unavailable,,,33.5997914,133.06404,1357.4633333333334,1169,3,二箆山・西雑誌山,grounding_response_without_coordinate
291,二箆山,summit-candidate:aa8ff99fc3bd426d,0.45,grounding_unavailable,,,33.601894,133.0710189,1347.9433333333334,1169,4,二箆山・西雑誌山,grounding_response_without_coordinate
291,二箆山,summit-candidate:ec2a95521eaac250,0.45,grounding_unavailable,,,33.6192163,133.0702571,1252.7733333333333,1169,5,二箆山・西雑誌山,grounding_response_without_coordinate
291,二箆山,summit-candidate:e4172c5503fdcc89,0.38,grounding_unavailable,,,33.6086175,133.0786503,1338.5933333333335,1169,6,二箆山・西雑誌山,grounding_response_without_coordinate
291,二箆山,summit-candidate:924ccfedeb6c2d2c,0.22,grounding_unavailable,,,33.6897024,132.8493405,1151.5666666666666,1169,7,黒森山,grounding_response_without_coordinate
291,二箆山,summit-candidate:ad2256a1bfd3ef78,0.22,grounding_unavailable,,,33.6557256,133.0525977,1157.3250757909168,1169,8,四辻ノ森・三光ノ辻山,grounding_response_without_coordinate
291,二箆山,summit-candidate:b06e13a9483478e5,0.22,grounding_unavailable,,,33.7217271,132.882066,1139.9767402874822,1169,9,皿ヶ嶺・引地山,grounding_response_without_coordinate
291,二箆山,summit-candidate:b27cb491de0f94b6,0.22,grounding_unavailable,,,33.6540726,133.0652222,1140.991937743903,1169,10,四辻ノ森・三光ノ辻山,grounding_response_without_coordinate
291,二箆山,summit-candidate:ba78489e4d448645,0.22,grounding_unavailable,,,33.4706698,132.9365377,1141.42,1169,11,小牛城,grounding_response_without_coordinate
291,二箆山,summit-candidate:27c1036d4aa2230e,0.21,grounding_unavailable,,,33.1812975,132.6194355,1167.5519282683324,1169,12,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_response_without_coordinate
291,二箆山,summit-candidate:9186201ca03b041d,0.21,grounding_unavailable,,,33.1727703,132.6401559,1160.4399999999998,1169,13,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,grounding_response_without_coordinate
291,二箆山,summit-candidate:91ebf1d99654d5b2,0.21,grounding_unavailable,,,33.1848651,132.6159575,1162.2731411431716,1169,14,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_response_without_coordinate
291,二箆山,summit-candidate:5b124255339c0714,0.15,grounding_unavailable,,,33.9046499,132.9247864,1147.7433333333333,1169,15,福見山・明神ヶ森・南三方ヶ森・魚谷森・左谷ノ森,grounding_response_without_coordinate
291,二箆山,summit-candidate:62351b8782d6f597,0.15,grounding_unavailable,,,33.213477,132.6419476,1191.8999999999999,1169,16,高月山・東高月山・郭公岳・櫨ヶ森・毛山,grounding_response_without_coordinate
291,二箆山,summit-candidate:78274ad93e160452,0.15,grounding_unavailable,,,33.8838209,133.660917,1152.4499999999998,1169,17,剣ノ山・三傍示山・塩塚峰,grounding_response_without_coordinate
291,二箆山,summit-candidate:7ceb76663c2bb81b,0.15,grounding_unavailable,,,33.1905947,132.6094331,1155.4333072605007,1169,18,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_response_without_coordinate
291,二箆山,summit-candidate:9fe4d21715424f17,0.15,grounding_unavailable,,,33.3120212,132.8936817,1139.8423907433491,1169,19,霧立山・地蔵山,grounding_response_without_coordinate
291,二箆山,summit-candidate:b58470f57bb41331,0.15,grounding_unavailable,,,33.8130309,133.154101,1152.69,1169,20,二ノ岳・高森,grounding_response_without_coordinate
291,二箆山,summit-candidate:ee9d736a090185dd,0.15,grounding_unavailable,,,33.4823808,132.8861266,1188.1187548490348,1169,21,碁石ヶ森,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:aa8ff99fc3bd426d,0.63,grounding_unavailable,,,33.601894,133.0710189,1347.9433333333334,1341,1,二箆山・西雑誌山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:09c1602c02ce7f78,0.57,grounding_unavailable,,,33.5997914,133.06404,1357.4633333333334,1341,2,二箆山・西雑誌山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:e4172c5503fdcc89,0.56,grounding_unavailable,,,33.6086175,133.0786503,1338.5933333333335,1341,3,二箆山・西雑誌山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:0a89128346167f6e,0.45,grounding_unavailable,,,33.62142,133.0520358,1158.3666666666668,1341,4,二箆山・西雑誌山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:67df63dc99cf8614,0.45,grounding_unavailable,,,33.6216493,133.061506,1190.45,1341,5,二箆山・西雑誌山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:ec2a95521eaac250,0.45,grounding_unavailable,,,33.6192163,133.0702571,1252.7733333333333,1341,6,二箆山・西雑誌山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:c7ff156edb321d12,0.28,grounding_unavailable,,,33.4674336,132.9161606,1345.4997959227253,1341,7,牛城,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:1c085703f9a891aa,0.22,grounding_unavailable,,,33.4903782,133.0130292,1363.1366666666665,1341,8,正木ノ森,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:777bcc5c6ed2c27e,0.22,grounding_unavailable,,,33.7182406,133.056812,1317.4533333333331,1341,9,大ノ森,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:0886436b79473a6c,0.21,grounding_unavailable,,,33.8803402,133.6037486,1340.51,1341,10,三ッ足山・カガマシ山・橡尾山・笹ヶ峰,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:118b217506eb653f,0.21,grounding_unavailable,,,33.5274365,132.8527908,1334.4923924855789,1341,11,雨乞山・妙見森,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:422a9e74717ca96d,0.21,grounding_unavailable,,,33.5012064,132.8649354,1341.5,1341,12,小屋山・丸石山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:e93bba1998d4efb5,0.21,grounding_unavailable,,,33.8295237,133.4864513,1350.0266666666666,1341,13,野地峰・黒岩山・大野山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:25e47e34740282d2,0.15,grounding_unavailable,,,33.7336817,132.9534746,1313.3500000000001,1341,14,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:5771cdd191c3861d,0.15,grounding_unavailable,,,33.8259035,133.1757371,1351.1733333333334,1341,15,二ノ岳・高森,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:69652a1c97f3b2eb,0.15,grounding_unavailable,,,33.8353414,133.4313475,1369.4399999999998,1341,16,東光森山・別子山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:6b97922a3935a9a5,0.15,grounding_unavailable,,,33.7968869,133.1208698,1354.6866666666667,1341,17,前社ヶ森・剣山・黒川山,grounding_response_without_coordinate
292,西雑誌山,summit-candidate:a61fd78e4e062683,0.15,grounding_unavailable,,,33.8209712,133.1775059,1361.2233333333334,1341,18,二ノ岳・高森,grounding_response_without_coordinate
293,気多山,summit-candidate:e010f98d2b23f547,0.63,grounding_unavailable,,,33.6973447,133.0732035,1212.5233333333333,1218,1,気多山・八辻ノ峰・五代ヶ森,grounding_response_without_coordinate
293,気多山,summit-candidate:3f404ba3e31c8b54,0.45,grounding_unavailable,,,33.7258222,133.0801009,1478.8966666666668,1218,2,気多山・八辻ノ峰・五代ヶ森,grounding_response_without_coordinate
293,気多山,summit-candidate:76cc7bb75549e7a1,0.45,grounding_unavailable,,,33.7367329,133.0832761,1709.1566666666668,1218,3,気多山・八辻ノ峰・五代ヶ森,grounding_response_without_coordinate
293,気多山,summit-candidate:83056c3652757f25,0.45,grounding_unavailable,,,33.7064228,133.0786753,1281.8966666666665,1218,4,気多山・八辻ノ峰・五代ヶ森,grounding_response_without_coordinate
293,気多山,summit-candidate:c210f415fc55501f,0.28,grounding_unavailable,,,33.6590168,132.8578473,1220.0333333333335,1218,5,桂ヶ森,grounding_response_without_coordinate
293,気多山,summit-candidate:c4504025c94f843c,0.28,grounding_unavailable,,,33.6609688,133.0432584,1215.0715256104047,1218,6,四辻ノ森・三光ノ辻山,grounding_response_without_coordinate
293,気多山,summit-candidate:05f8527418663d3a,0.22,grounding_unavailable,,,33.6537104,133.077342,1237.4900548329229,1218,7,四辻ノ森・三光ノ辻山,grounding_response_without_coordinate
293,気多山,summit-candidate:2b97141dc260a078,0.22,grounding_unavailable,,,33.7587106,133.0192751,1232.6866666666667,1218,8,割石東山・青滝山・堂ヶ森,grounding_response_without_coordinate
293,気多山,summit-candidate:67df63dc99cf8614,0.22,grounding_unavailable,,,33.6216493,133.061506,1190.45,1218,9,二箆山・西雑誌山,grounding_response_without_coordinate
293,気多山,summit-candidate:d659f1dc6e5fa0b5,0.22,grounding_unavailable,,,33.6584439,133.0393458,1206.9212487152886,1218,10,四辻ノ森・三光ノ辻山,grounding_response_without_coordinate
293,気多山,summit-candidate:e084389cc60ad329,0.22,grounding_unavailable,,,33.7260215,132.9136819,1203.3533333333332,1218,11,陣ヶ森・前々司山・うなめご,grounding_response_without_coordinate
293,気多山,summit-candidate:0d157ed871f76807,0.21,grounding_unavailable,,,33.8127427,133.2473801,1210.7966666666669,1218,12,谷崎山,grounding_response_without_coordinate
293,気多山,summit-candidate:17b2365d322cd022,0.21,grounding_unavailable,,,33.9071584,132.9439167,1212.63,1218,13,楢原山・古権現山・中三方ヶ森,grounding_response_without_coordinate
