mountain_no,mountain_name,classification,summit_candidate_id,grounding_assisted_candidate_score,grounding_distance_m,grounding_match_status,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,track_name,grounding_reason_codes
40,ヌタノサコ,grounding_response_without_coordinate,summit-candidate:7d7066baad9d7077,0.63,,grounding_unavailable,33.8922068,132.8273765,505.77666666666664,514,奥之城山・ヌタノサコ,grounding_response_without_coordinate
41,城山,grounding_response_without_coordinate,summit-candidate:c1f175d0616be696,0.63,,grounding_unavailable,33.6968367,132.7954997,589.8691282114027,592,城山・水梨山・向山,grounding_response_without_coordinate
42,水梨山,grounding_response_without_coordinate,summit-candidate:0a765b89058b256b,0.63,,grounding_unavailable,33.6808914,132.7938736,734.4240556679409,729,城山・水梨山・向山,grounding_response_without_coordinate
43,向山,grounding_response_without_coordinate,summit-candidate:07834c521328cc1d,0.57,,grounding_unavailable,33.6848511,132.7812374,707.7550916004999,683,城山・水梨山・向山,grounding_response_without_coordinate
44,稔山,grounding_response_without_coordinate,summit-candidate:622b899de76208ef,0.63,,grounding_unavailable,33.8609206,132.9700981,911.0766666666667,917,稔山,grounding_response_without_coordinate
45,菊ヶ森,grounding_response_without_coordinate,summit-candidate:ab8cf0f07d2a219d,0.63,,grounding_unavailable,33.859723,132.8152899,145.66,151,菊ヶ森,grounding_response_without_coordinate
46,道後山,grounding_response_without_coordinate,summit-candidate:7c680b0eed0187fa,0.63,,grounding_unavailable,33.8556124,132.7933144,221.10333333333332,224,道後山,grounding_response_without_coordinate
47,倉谷山,grounding_response_without_coordinate,summit-candidate:aba609f471e97e4a,0.57,,grounding_unavailable,33.837858,132.8256729,405.40333333333336,420,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,grounding_response_without_coordinate
48,芝ヶ峠,grounding_response_without_coordinate,summit-candidate:079ae30d76fb11c2,0.63,,grounding_unavailable,33.8265074,132.8167326,280.85333333333335,282,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,grounding_response_without_coordinate
49,大久保山,grounding_far_from_all_candidates,summit-candidate:5aff666aa93b3a17,0.504,20910.7,grounding_contradicted_or_unrelated,33.8841169,132.7626522,181.12,175,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,grounding_far_from_candidate
50,八里ヶ峠,grounding_far_from_all_candidates,summit-candidate:5aff666aa93b3a17,0.504,16798.9,grounding_contradicted_or_unrelated,33.8841169,132.7626522,181.12,182,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,grounding_far_from_candidate
51,中坂山,grounding_response_without_coordinate,summit-candidate:452c10a1db199870,0.57,,grounding_unavailable,33.8773459,132.7614769,76.83333333333333,98,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,grounding_response_without_coordinate
52,天神山,grounding_far_from_all_candidates,summit-candidate:452c10a1db199870,0.456,31645.9,grounding_contradicted_or_unrelated,33.8773459,132.7614769,76.83333333333333,47,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,grounding_far_from_candidate
53,室岡山,grounding_far_from_all_candidates,summit-candidate:452c10a1db199870,0.408,32142.4,grounding_contradicted_or_unrelated,33.8773459,132.7614769,76.83333333333333,42,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,grounding_far_from_candidate
54,潮見山,grounding_far_from_all_candidates,summit-candidate:3259dfe3d9ce60c5,0.456,21518.8,grounding_contradicted_or_unrelated,33.816673,132.8428244,152.25333333333333,123,明神山・潮見山,grounding_far_from_candidate
55,明神山,grounding_far_from_all_candidates,summit-candidate:3259dfe3d9ce60c5,0.504,20629.9,grounding_contradicted_or_unrelated,33.816673,132.8428244,152.25333333333333,161,明神山・潮見山,grounding_far_from_candidate
