summit_candidate_id,matched
dense-summit-candidate:935a59015a454ad1,false
dense-summit-candidate:715a6e62b060fa48,false
dense-summit-candidate:3150848479b3fab6,false
dense-summit-candidate:8e9a9b46a359c25f,false
dense-summit-candidate:44b5bc0ffb3d8080,false
dense-summit-candidate:1b967834f11a03ec,false
dense-summit-candidate:b51ed78f6f61e370,false
dense-summit-candidate:0deeb61e416dc0ee,false
dense-summit-candidate:c17c3e098147cb75,false
dense-summit-candidate:cca3ade4c708893a,true
dense-summit-candidate:727bd73d7b762b55,false
dense-summit-candidate:62a7b39c285f4b6a,false
dense-summit-candidate:6826734c631b0b97,false
dense-summit-candidate:3b7b5c3ffc96724d,false
dense-summit-candidate:236821e683ffb482,false
dense-summit-candidate:9513c19bfd014379,false
dense-summit-candidate:cc525ab5eda217d2,false
dense-summit-candidate:addb819ae2968019,false
dense-summit-candidate:38f98c1af106353c,false
dense-summit-candidate:d445916664375948,false
dense-summit-candidate:e6c15b79648aefc5,false
dense-summit-candidate:8cb11fa8f4411900,false
dense-summit-candidate:bbed343b83f487d8,false
dense-summit-candidate:60d533b2de6d2694,false
dense-summit-candidate:7521c1fc9967fc71,false
dense-summit-candidate:61377890b9a6ed65,false
dense-summit-candidate:88043f313ab12a65,false
dense-summit-candidate:5670a9aef0b15f3a,false
dense-summit-candidate:e913669ab5261d36,false
dense-summit-candidate:49decd9ab9690ddc,false
dense-summit-candidate:6cf38e4adf41ca1c,false
dense-summit-candidate:f0cfcb5f4a6ff0ff,false
dense-summit-candidate:877e195bd5ac5ed4,false
dense-summit-candidate:1e543caf9453db42,false
dense-summit-candidate:b813d8cdb3431a77,false
dense-summit-candidate:371bb24a546e398e,false
dense-summit-candidate:ad79780092a86614,false
dense-summit-candidate:34f9bf2bff722b42,false
dense-summit-candidate:99cdd6543356d68e,false
dense-summit-candidate:437d222c30fd95fd,false
dense-summit-candidate:8361671671a1909c,false
dense-summit-candidate:45474760bfb56e66,false
dense-summit-candidate:f505d9a5dd39e01a,false
dense-summit-candidate:2929077cd3750999,false
dense-summit-candidate:89269b8eb0bf7086,false
dense-summit-candidate:866809690c47e411,false
dense-summit-candidate:e20009861f7a4102,false
dense-summit-candidate:fc2f77d5ff4251fd,false
dense-summit-candidate:4669494bef5b30a7,false
dense-summit-candidate:ebee83d5c7b9b593,false
dense-summit-candidate:9ced1d6a4ce890b7,false
dense-summit-candidate:cd22ce91737c9041,false
dense-summit-candidate:33b4cf3bca97897c,false
dense-summit-candidate:6aa83f7d8825c7c0,false
dense-summit-candidate:dc7364c1b744f8a2,false
dense-summit-candidate:d7a7ead7e84de756,false
dense-summit-candidate:b75cab14eab84cb6,false
dense-summit-candidate:cbf8ae0d488f158e,false
dense-summit-candidate:7404152af80fcba1,false
dense-summit-candidate:26470c9f25a6725e,false
dense-summit-candidate:24c61d10d8579157,true
dense-summit-candidate:b5db41945f579366,false
dense-summit-candidate:82ac6b169a237e34,false
dense-summit-candidate:9ab2fa081dec6084,false
dense-summit-candidate:0200db0182c88eed,false
dense-summit-candidate:7ffcef77d6fab54a,false
dense-summit-candidate:a4f0338901b09318,false
dense-summit-candidate:a9e6962a3299c3eb,false
dense-summit-candidate:b23b1dcaadd5f690,false
dense-summit-candidate:dcd4d80ef76fff04,false
dense-summit-candidate:8c00d7fed4613e8b,false
dense-summit-candidate:3052086b9fd5a44a,false
dense-summit-candidate:21e1cbc27440e235,false
dense-summit-candidate:336746cdccc7dfb5,false
dense-summit-candidate:43fa885e99f9a0e9,false
dense-summit-candidate:a3760f925bb895d3,false
dense-summit-candidate:7e096eb98de180cb,false
dense-summit-candidate:6d8c99cf5cf13e6e,false
dense-summit-candidate:99a3fe04d2d860b4,false
dense-summit-candidate:7b030dc9c06df79a,false
dense-summit-candidate:9ecb8197373aacb9,false
dense-summit-candidate:1a27de458090ab86,false
dense-summit-candidate:b2c778db7dc1a4c0,false
dense-summit-candidate:43388b2db5a11987,false
dense-summit-candidate:e78104f2093951ed,false
dense-summit-candidate:fa0192d03b527de0,false
dense-summit-candidate:b013aad3a62e50f1,false
dense-summit-candidate:a1111b62e1ec4cf7,false
dense-summit-candidate:e453af5881e37fff,false
dense-summit-candidate:09209eb385268ee7,false
dense-summit-candidate:a38b6009fdc51724,false
dense-summit-candidate:c0a2105b0af039e2,false
dense-summit-candidate:9b1259f6fea36ed4,false
dense-summit-candidate:316a6a9d2b8115bd,false
dense-summit-candidate:7dff2d1924dfb3cd,false
dense-summit-candidate:3cf6b02588b59dea,false
dense-summit-candidate:9d93036547d1366d,false
dense-summit-candidate:e613724af400aff1,false
dense-summit-candidate:437472bfd1b44c3b,false
dense-summit-candidate:6f26b4c2642326ff,false
