source_gpx_basename,track_name,mountain_count_in_group,summit_candidate_count_in_group,top1_link_count,conflict_count,mountain_names,summit_candidate_ids,suggested_review_order,notes
yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,49,4,3,16,源氏ヶ駄場（薊野峰）|うなめご|前々司山|豊受山|割石東山|姫草|牛城|篠山|東山|楢原山|割石峠山|樽谷山|根無山|東山|福見山|皿ヶ嶺|前善神山|冠岳|高森|櫨ヶ森|毛山|西雑誌山|狼ヶ城山|銅山峰|二の森|カガマシ山|ハネズル山|加塚山|小屋山|丸石山|野地峰|黒岩山|大野山|水なし山|貝渚山|正木ノ森|黒川山|別子山|佐々連尾山|天満山|塩塚峰|高研山|妙見森|雨霧山|大森山|大野山|玉取山|三ヶ森|扇山,summit-candidate:53bf856dccad5eab|summit-candidate:17a471cc45af2c05|summit-candidate:8326f30918c16cbe|summit-candidate:e93bba1998d4efb5,97,mountains=49; candidates=4; conflicts=16
yamap_2025-03-23_11_12.gpx,北ヶ森・高土の峰,16,1,2,16,引地山|鋸山|古権現山|割石峠山|魚谷森|譲ヶ葉森|郭公岳|御祝山|高縄山|笹ヶ峰|北ヶ森|高土の峰|町木山|尻割山|面木山|常住,summit-candidate:dedadc05e5f6d5d5,98,mountains=16; candidates=1; conflicts=16
yamap_2025-06-21_08_53.gpx,貝渚山・水なし山,16,1,2,16,源氏ヶ駄場（薊野峰）|東山|東山|冠岳|狼ヶ城山|西山|大野山|水なし山|貝渚山|別子山|三ッ森山|大森山|佐々連尾山|大森山|三ヶ森|扇山,summit-candidate:403c0894babcf279,99,mountains=16; candidates=1; conflicts=16
yamap_2025-01-26_07_09.gpx,天が森・浄心山・銅が鳴,18,2,3,15,鍵山（象ヶ森）|寒川山|泉ガ森|出石山|黒滝山|観音森|観音岳|岩屋山|天が森|浄心山|銅が鳴|高土の峰|大判山|高森山|鎧掛山|大野山|棟山|星ヶ森,summit-candidate:090f7fa4be89ec5e|summit-candidate:37c3a34c16599379,100,mountains=18; candidates=2; conflicts=15
yamap_2023-05-27_09_55.gpx,前善神山・善神山,14,1,2,14,雨包山|割石東山|篠山|善神山|前善神山|大黒山|櫨ヶ森|毛山|三ッ足山|加塚山|霧立山|剣ノ山|熊鷹山|櫛ヶ峰,summit-candidate:367897a1c7a2d287,101,mountains=14; candidates=1; conflicts=14
yamap_2025-10-05_08_42.gpx,三ッ森山・大座礼山,28,4,2,13,源氏ヶ駄場（薊野峰）|大川嶺|笠取山|赤星山|石墨山|権現山|綱繰山|上兜山|面河山|丸笹山|丸滝山|椿山|中津山(明神山)|猿越山|西山|大野山|水なし山|貝渚山|伊吹山|五段城|前社ヶ森|三ッ森山|大座礼山|三つ足山|大森山|佐々連尾山|丸山|大森山,summit-candidate:8f124a2a1de32654|summit-candidate:2666cead0a841bbb|summit-candidate:20557338e1ab5de6|summit-candidate:b2662116bd1858b6,102,mountains=28; candidates=4; conflicts=13
yamap_2024-06-08_08_42.gpx,沓掛山・黒森山,15,2,3,13,堂ヶ森|自念子ノ頭|前赤石山|エビラ山|二ッ岳|黒森山|東赤石山|八巻山|五代ヶ森|黒森山|沓掛山|平家平|子持権現山|鶴ノ子ノ頭|黒森,summit-candidate:40e090ce41a89b55|summit-candidate:dd7a40896ae9f6d4,103,mountains=15; candidates=2; conflicts=13
yamap_2024-10-20_06_42.gpx,ハネズル山,12,1,2,12,うなめご|青滝山|姫草|法師山|梅ヶ谷山|皿ヶ嶺|ハネズル山|天堤山|野地峰|大ノ森|兵庫山|生之越,summit-candidate:e2c08955f9275289,104,mountains=12; candidates=1; conflicts=12
yamap_2024-04-20_05_43.gpx,気多山・八辻ノ峰・五代ヶ森,52,4,3,11,三本杭|東三方ヶ森|碁石ヶ森|ウバホド山|うなめご|前々司山|陣ヶ森|赤星山|青滝山|堂ヶ森|自念子ノ頭|姫草|中三方ヶ森|石墨山|法師山|白猪山|樽谷山|根無山|綱繰山|獅子舞の鼻|冠山|明神ヶ森|皿ヶ嶺|下兜山|東赤石山|八巻山|四辻ノ森|三光ノ辻山|高月山|横ノ森|小屋ヶ森|気多山|八辻ノ峰|五代ヶ森|桂ヶ森|沓掛山|平家平|橡尾山|ハネズル山|野地峰|谷崎山|東黒森|伊吹山|五段城|天狗ノ森|東光森山|三つ足山|雨乞山|台ヶ森|大旗山|兵庫山|生之越,summit-candidate:e010f98d2b23f547|summit-candidate:3f404ba3e31c8b54|summit-candidate:83056c3652757f25|summit-candidate:76cc7bb75549e7a1,105,mountains=52; candidates=4; conflicts=11
yamap_2022-07-02_07_43.gpx,石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭,12,3,3,11,筒上山|鞍瀬ノ頭|二ノ森|面河の頭|西ノ冠岳|西黒森|ちち山|笹ヶ峰|石鎚山|冠岳|瓶ヶ森|東ノ冠岳,summit-candidate:846b096132c533d6|summit-candidate:bca203164e26ce6a|summit-candidate:fe43b0b6aa90cb8f,106,mountains=12; candidates=3; conflicts=11
yamap_2022-06-16_16_00.gpx,姫草,11,1,2,11,うなめご|前々司山|豊受山|姫草|牛城|樽谷山|皿ヶ嶺|ハネズル山|野地峰|小牛城|雨霧山,summit-candidate:dc456a72b89d4d52,107,mountains=11; candidates=1; conflicts=11
