mountain_no,mountain_name,suggested_summit_candidate_id,suggested_candidate_score,suggested_candidate_confidence,suggested_location_stability_bucket,suggested_municipality_relation,suggested_candidate_municipality,source_mountain_municipality,accepted_summit_candidate_id,decision_status,decision_reason,reviewer_notes,needs_followup,map_checked,packet_path,top3_candidate_ids,conflict_group_ids,created_from_stage
133,戸祇御前山,summit-candidate:7bda9ba8d2b47d6e,0.85,medium,location_uncertain_keep,non_adjacent_municipality,鬼北町,新居浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0257_yamap_2022-10-01_08_30.md,summit-candidate:7bda9ba8d2b47d6e|summit-candidate:c246a8edb72dbebb|summit-candidate:18f6f4b086668887,gpx_group_0257|summit_candidate_0214|summit_candidate_0232|summit_candidate_0405|mountain_133,location_stability_review_packets
134,雄甲山,summit-candidate:82d3009a6c1b2511,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0047_yamap_2022-10-03_14_57.md,summit-candidate:82d3009a6c1b2511|summit-candidate:0022a746b396d4c7|summit-candidate:1432f597b5dca157,gpx_group_0047|summit_candidate_0091|summit_candidate_0375|summit_candidate_0018|mountain_134,location_stability_review_packets
135,雌甲山,summit-candidate:82d3009a6c1b2511,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0047_yamap_2022-10-03_14_57.md,summit-candidate:82d3009a6c1b2511|summit-candidate:23c112538ef91e0d|summit-candidate:36e3ac8003e8b5d0,gpx_group_0047|summit_candidate_0091|summit_candidate_0029|summit_candidate_0124|mountain_135,location_stability_review_packets
136,泉ガ森,summit-candidate:ff0e7de3b62f5ed8,0.68,medium,location_uncertain_keep,candidate_boundary_ambiguous,,四国中央市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0265_yamap_2022-10-04_12_47.md,summit-candidate:ff0e7de3b62f5ed8|summit-candidate:6adfa15b8dbd8966|summit-candidate:eb031d650d8e9a7a,gpx_group_0265|summit_candidate_0323|summit_candidate_0146|summit_candidate_0182|mountain_136,location_stability_review_packets
137,東山,summit-candidate:5c9365b2a5a9c97f,0.67,medium,adjacent_but_deep_inside,adjacent_municipality,松山市,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0054_yamap_2022-12-31_15_00.md,summit-candidate:5c9365b2a5a9c97f|summit-candidate:4b33f9c73e644793|summit-candidate:bb644412fd9a132c,gpx_group_0054|summit_candidate_0009|summit_candidate_0132|summit_candidate_0231|mountain_137,location_stability_review_packets
138,前赤石山,summit-candidate:e2bdd25969c7f122,0.79,medium,boundary_plausible,adjacent_municipality,新居浜市,西条市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0085_yamap_2022-10-08_06_12.md,summit-candidate:e2bdd25969c7f122|summit-candidate:2b7cce23b57844a5|summit-candidate:5104c47f17101d63,gpx_group_0085|summit_candidate_0135|summit_candidate_0065|summit_candidate_0133|mountain_138,location_stability_review_packets
139,黒崎山,summit-candidate:541ec86327b86307,0.56,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0214_yamap_2022-10-11_15_15.md,summit-candidate:541ec86327b86307|summit-candidate:02d59cd1260af017|summit-candidate:40d5b4863907057a,gpx_group_0214|summit_candidate_0335|summit_candidate_0034|summit_candidate_0385|mountain_139,location_stability_review_packets
140,高戸山,summit-candidate:aadeb26cf0359691,0.68,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0039_yamap_2022-10-14_12_05.md,summit-candidate:aadeb26cf0359691|summit-candidate:c7de309bf838af87|summit-candidate:cc3fbb2358d0d4fc,gpx_group_0039|summit_candidate_0095|summit_candidate_0422|summit_candidate_0236|mountain_140,location_stability_review_packets
141,犬吠山,summit-candidate:cc3fbb2358d0d4fc,0.68,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0114_yamap_2022-10-14_13_01.md,summit-candidate:cc3fbb2358d0d4fc|summit-candidate:aadeb26cf0359691|summit-candidate:c7de309bf838af87,gpx_group_0114|summit_candidate_0236|summit_candidate_0095|summit_candidate_0422|mountain_141,location_stability_review_packets
142,泰の山,summit-candidate:aadeb26cf0359691,0.68,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0039_yamap_2022-10-14_12_05.md,summit-candidate:aadeb26cf0359691|summit-candidate:c7de309bf838af87|summit-candidate:cc3fbb2358d0d4fc,gpx_group_0039|summit_candidate_0095|summit_candidate_0422|summit_candidate_0236|mountain_142,location_stability_review_packets
