mountain_no,mountain_name,summit_candidate_id,grounding_refined_score,grounding_bucket,grounding_distance_m,grounding_consensus,grounding_confidence,location_stability_bucket,location_stability_refined_score,candidate_lat,candidate_lon,candidate_ele_m,elevation_diff_m,name_tier,grounding_refined_review_priority,track_name
55,"明神山",summit-candidate:3259dfe3d9ce60c5,0.79,grounding_weakened,20629.9,single_cluster_consensus,0.92,location_strong_match,0.85,33.816673,132.8428244,152.3,8.8,strong,deprioritized,"明神山・潮見山"
56,"潮見山",summit-candidate:45439217573adfc4,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8188713,132.8530104,210.9,3.1,strong,medium,"明神山・潮見山"
57,"十門山(十門城址)",summit-candidate:a94564816fd4afff,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8503146,132.9103674,676.7,6.3,strong,medium,"十門山(十門城址)・ヨソ山"
58,"ヨソ山",summit-candidate:555fd1e3be8780dd,0.57,grounding_weakened,2787.1,single_cluster_consensus,0.95,adjacent_but_deep_inside,0.63,33.8408635,132.9292547,923.9,4.1,strong,low,"十門山(十門城址)・ヨソ山"
59,"忽那山",summit-candidate:daa8d4127fc92552,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8441067,132.7004302,42.3,2.7,strong,medium,"忽那山"
60,"鬼ヶ城山",summit-candidate:7ceb76663c2bb81b,0.85,grounding_neutral,,no_coordinates,,location_strong_match,0.85,33.1905947,132.6094331,1155.4,4.4,strong,medium,"鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山"
61,"三本杭",summit-candidate:babbcdf7bbd23463,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.1878433,132.6355525,1222.5,3.5,strong,medium,"鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山"
62,"八面山",summit-candidate:27c1036d4aa2230e,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.1812975,132.6194355,1167.6,1.6,strong,medium,"鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山"
63,"大久保山",summit-candidate:7ceb76663c2bb81b,0.79,grounding_weakened,97808.8,single_cluster_consensus,0.98,location_strong_match,0.85,33.1905947,132.6094331,1155.4,0.4,strong,deprioritized,"鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山"
64,"大月山",summit-candidate:9a68e7a3a97831ff,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.92961,132.8476038,950.6,2.4,strong,medium,"大月山・高縄山"
65,"引地山",summit-candidate:b06e13a9483478e5,0.5,grounding_neutral,1315.2,single_cluster_consensus,0.96,location_uncertain_keep,0.5,33.7217271,132.882066,1140,113,strong,medium,"皿ヶ嶺・引地山"
66,"東三方ヶ森",summit-candidate:d06b9d5365beffaa,0.69,grounding_weakened,2568,single_cluster_consensus,0.98,location_uncertain_keep,0.75,33.9025981,132.959899,1229.5,3.5,strong,deprioritized,"東三方ヶ森"
67,"甲が森",summit-candidate:50d68ea03af3c4ff,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.3884297,132.7572928,456.7,5.7,strong,medium,"甲が森"
68,"三滝山",summit-candidate:da65a16f23740e83,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.4130019,132.7969092,646.8,4.8,strong,medium,"三滝山"
