mountain_no,mountain_name,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_track_name,top_source_gpx_basename,top_candidate_ele_m,mountain_elevation_m,top_elevation_diff_m,csv_coordinate_distance_m,location_summary,activity_link_summary,needs_human_review,review_reason_codes,notes
11,皿ヶ森,21,summit-candidate:59c561a08189d6b9,0.75,medium,皿ヶ森・経座ヶ森・ヨソ山,yamap_2022-01-29_08_35.gpx,630.24,633,2.76,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=皿ヶ森(#11); candidate=summit-candidate:59c561a08189d6b9; track=""皿ヶ森・経座ヶ森・ヨソ山""; score=0.75; name_tier=strong; ele_diff=2.76m; loc=strong_overlap; act_conf=high"
12,経座ヶ森,14,summit-candidate:59c561a08189d6b9,0.57,medium,皿ヶ森・経座ヶ森・ヨソ山,yamap_2022-01-29_08_35.gpx,630.24,735,104.76,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,"mountain=経座ヶ森(#12); candidate=summit-candidate:59c561a08189d6b9; track=""皿ヶ森・経座ヶ森・ヨソ山""; score=0.57; name_tier=strong; ele_diff=104.76m; loc=strong_overlap; act_conf=high"
13,谷上山,22,summit-candidate:0eff3d1ea2b48d73,0.75,medium,谷上山・権現山・白滝山・障子山,yamap_2022-02-06_08_26.gpx,456.90,455,1.9,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=谷上山(#13); candidate=summit-candidate:0eff3d1ea2b48d73; track=""谷上山・権現山・白滝山・障子山""; score=0.75; name_tier=strong; ele_diff=1.9m; loc=strong_overlap; act_conf=high"
14,権現山,47,summit-candidate:2c817617699a0a45,0.75,medium,谷上山・権現山・白滝山・障子山,yamap_2022-02-06_08_26.gpx,485.21,479,6.21,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=権現山(#14); candidate=summit-candidate:2c817617699a0a45; track=""谷上山・権現山・白滝山・障子山""; score=0.75; name_tier=strong; ele_diff=6.21m; loc=strong_overlap; act_conf=high"
15,白滝山,19,summit-candidate:ea5f711625df386b,0.75,medium,谷上山・権現山・白滝山・障子山,yamap_2022-02-06_08_26.gpx,510.26,504,6.26,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=白滝山(#15); candidate=summit-candidate:ea5f711625df386b; track=""谷上山・権現山・白滝山・障子山""; score=0.75; name_tier=strong; ele_diff=6.26m; loc=strong_overlap; act_conf=high"
16,障子山,19,summit-candidate:a0ef25e9a532b62e,0.68,medium,谷上山・権現山・白滝山・障子山,yamap_2022-02-06_08_26.gpx,888.50,885,3.5,,mismatch_warning,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|location_mismatch_warning,"mountain=障子山(#16); candidate=summit-candidate:a0ef25e9a532b62e; track=""谷上山・権現山・白滝山・障子山""; score=0.68; name_tier=strong; ele_diff=3.5m; loc=mismatch_warning; act_conf=high"
17,伽藍山,29,summit-candidate:da46e12c02d47edf,0.75,medium,佐田岬と伽藍山,yamap_2022-02-09_10_01.gpx,413.74,414,0.26,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=伽藍山(#17); candidate=summit-candidate:da46e12c02d47edf; track=""佐田岬と伽藍山""; score=0.75; name_tier=strong; ele_diff=0.26m; loc=strong_overlap; act_conf=high"
18,塩ヶ森,18,summit-candidate:0c210f0edfbda06f,0.75,medium,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,yamap_2022-02-11_08_26.gpx,522.68,526,3.32,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=塩ヶ森(#18); candidate=summit-candidate:0c210f0edfbda06f; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.75; name_tier=strong; ele_diff=3.32m; loc=strong_overlap; act_conf=high"
19,番駄ヶ森,26,summit-candidate:a637fbc518f58ac5,0.75,medium,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,yamap_2022-02-11_08_26.gpx,600.80,605,4.2,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=番駄ヶ森(#19); candidate=summit-candidate:a637fbc518f58ac5; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.75; name_tier=strong; ele_diff=4.2m; loc=strong_overlap; act_conf=high"
20,ケタ山,19,summit-candidate:24dc6cf37ce4e715,0.69,medium,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,yamap_2022-02-11_08_26.gpx,646.48,659,12.52,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=ケタ山(#20); candidate=summit-candidate:24dc6cf37ce4e715; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.69; name_tier=strong; ele_diff=12.52m; loc=strong_overlap; act_conf=high"
21,大磨山,24,summit-candidate:24dc6cf37ce4e715,0.75,medium,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,yamap_2022-02-11_08_26.gpx,646.48,648,1.52,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=大磨山(#21); candidate=summit-candidate:24dc6cf37ce4e715; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.75; name_tier=strong; ele_diff=1.52m; loc=strong_overlap; act_conf=high"
22,鍵山（象ヶ森）,19,summit-candidate:c2491268ea5645b7,0.75,medium,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,yamap_2022-02-11_08_26.gpx,801.56,804,2.44,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=鍵山（象ヶ森）(#22); candidate=summit-candidate:c2491268ea5645b7; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.75; name_tier=strong; ele_diff=2.44m; loc=strong_overlap; act_conf=high"
23,天神山,23,summit-candidate:543b4550a3ef3e87,0.75,medium,天神山・御幸寺山,yamap_2022-02-15_10_36.gpx,195.11,200,4.89,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=天神山(#23); candidate=summit-candidate:543b4550a3ef3e87; track=""天神山・御幸寺山""; score=0.75; name_tier=strong; ele_diff=4.89m; loc=strong_overlap; act_conf=high"
24,御幸寺山,18,summit-candidate:e4808690532bb46c,0.75,medium,天神山・御幸寺山,yamap_2022-02-15_10_36.gpx,158.70,165,6.3,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=御幸寺山(#24); candidate=summit-candidate:e4808690532bb46c; track=""天神山・御幸寺山""; score=0.75; name_tier=strong; ele_diff=6.3m; loc=strong_overlap; act_conf=high"
25,愛宕山,27,summit-candidate:d9391b001d4bc442,0.75,medium,愛宕山・常光寺山,yamap_2022-02-16_11_57.gpx,120.82,115,5.82,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=愛宕山(#25); candidate=summit-candidate:d9391b001d4bc442; track=""愛宕山・常光寺山""; score=0.75; name_tier=strong; ele_diff=5.82m; loc=strong_overlap; act_conf=high"
26,常光寺山,26,summit-candidate:d9391b001d4bc442,0.75,medium,愛宕山・常光寺山,yamap_2022-02-16_11_57.gpx,120.82,124,3.18,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=常光寺山(#26); candidate=summit-candidate:d9391b001d4bc442; track=""愛宕山・常光寺山""; score=0.75; name_tier=strong; ele_diff=3.18m; loc=strong_overlap; act_conf=high"
27,杉立山,16,summit-candidate:17c3649ad9b147ce,0.33,low,御在所山,yamap_2026-01-07_07_05.gpx,665.18,669,3.82,,mismatch_warning,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,"mountain=杉立山(#27); candidate=summit-candidate:17c3649ad9b147ce; track=""御在所山""; score=0.33; name_tier=none; ele_diff=3.82m; loc=mismatch_warning; act_conf=high"
28,岩柄山,16,summit-candidate:7d7066baad9d7077,0.4,low,奥之城山・ヌタノサコ,yamap_2022-03-03_10_47.gpx,505.78,507,1.22,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,"mountain=岩柄山(#28); candidate=summit-candidate:7d7066baad9d7077; track=""奥之城山・ヌタノサコ""; score=0.4; name_tier=none; ele_diff=1.22m; loc=strong_overlap; act_conf=high"
29,高山,22,summit-candidate:8ff6361109e5ed5c,0.57,medium,高山・大里山・泰ノ山,yamap_2025-03-20_08_27.gpx,121.17,463,341.83,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,"mountain=高山(#29); candidate=summit-candidate:8ff6361109e5ed5c; track=""高山・大里山・泰ノ山""; score=0.57; name_tier=strong; ele_diff=341.83m; loc=strong_overlap; act_conf=high"
30,勝岡山,18,summit-candidate:43911aa413390192,0.4,low,横山(横山城址),yamap_2022-06-29_08_48.gpx,449.03,453,3.97,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,"mountain=勝岡山(#30); candidate=summit-candidate:43911aa413390192; track=""横山(横山城址)""; score=0.4; name_tier=none; ele_diff=3.97m; loc=strong_overlap; act_conf=high"
31,西山,27,summit-candidate:bdfa250c89c1ca90,0.75,medium,西山・経ヶ森・岩子山・護摩ヶ森,yamap_2022-02-23_08_42.gpx,168.98,172,3.02,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=西山(#31); candidate=summit-candidate:bdfa250c89c1ca90; track=""西山・経ヶ森・岩子山・護摩ヶ森""; score=0.75; name_tier=strong; ele_diff=3.02m; loc=strong_overlap; act_conf=high"
32,岩子山,23,summit-candidate:23c112538ef91e0d,0.69,medium,西山・経ヶ森・岩子山・護摩ヶ森,yamap_2022-02-23_08_42.gpx,195.95,181,14.95,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=岩子山(#32); candidate=summit-candidate:23c112538ef91e0d; track=""西山・経ヶ森・岩子山・護摩ヶ森""; score=0.69; name_tier=strong; ele_diff=14.95m; loc=strong_overlap; act_conf=high"
33,経ヶ森,21,summit-candidate:23c112538ef91e0d,0.75,medium,西山・経ヶ森・岩子山・護摩ヶ森,yamap_2022-02-23_08_42.gpx,195.95,200,4.05,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=経ヶ森(#33); candidate=summit-candidate:23c112538ef91e0d; track=""西山・経ヶ森・岩子山・護摩ヶ森""; score=0.75; name_tier=strong; ele_diff=4.05m; loc=strong_overlap; act_conf=high"
34,護摩ヶ森,23,summit-candidate:bdfa250c89c1ca90,0.75,medium,西山・経ヶ森・岩子山・護摩ヶ森,yamap_2022-02-23_08_42.gpx,168.98,170,1.02,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=護摩ヶ森(#34); candidate=summit-candidate:bdfa250c89c1ca90; track=""西山・経ヶ森・岩子山・護摩ヶ森""; score=0.75; name_tier=strong; ele_diff=1.02m; loc=strong_overlap; act_conf=high"
35,御岳山,24,summit-candidate:54cf4155ab259d9d,0.75,medium,御岳山,yamap_2022-02-26_07_43.gpx,430.60,438,7.4,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,"mountain=御岳山(#35); candidate=summit-candidate:54cf4155ab259d9d; track=""御岳山""; score=0.75; name_tier=strong; ele_diff=7.4m; loc=strong_overlap; act_conf=high"
36,石槌山,27,summit-candidate:54cf4155ab259d9d,0.57,medium,御岳山,yamap_2022-02-26_07_43.gpx,430.60,252,178.6,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,"mountain=石槌山(#36); candidate=summit-candidate:54cf4155ab259d9d; track=""御岳山""; score=0.57; name_tier=strong; ele_diff=178.6m; loc=strong_overlap; act_conf=high"
37,日王山,25,summit-candidate:2011a6c909945d6f,0.4,low,権現山,yamap_2026-04-12_11_03.gpx,102.87,109,6.13,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,"mountain=日王山(#37); candidate=summit-candidate:2011a6c909945d6f; track=""権現山""; score=0.4; name_tier=none; ele_diff=6.13m; loc=strong_overlap; act_conf=high"
38,重茂山,27,summit-candidate:fbd725fc8006e2c8,0.57,medium,花木山,yamap_2022-02-28_13_13.gpx,50.49,291,240.51,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,"mountain=重茂山(#38); candidate=summit-candidate:fbd725fc8006e2c8; track=""花木山""; score=0.57; name_tier=strong; ele_diff=240.51m; loc=strong_overlap; act_conf=high"
39,花木山,14,summit-candidate:fbd725fc8006e2c8,0.75,medium,花木山,yamap_2022-02-28_13_13.gpx,50.49,53,2.51,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,"mountain=花木山(#39); candidate=summit-candidate:fbd725fc8006e2c8; track=""花木山""; score=0.75; name_tier=strong; ele_diff=2.51m; loc=strong_overlap; act_conf=high"
40,ヌタノサコ,18,summit-candidate:7d7066baad9d7077,0.75,medium,奥之城山・ヌタノサコ,yamap_2022-03-03_10_47.gpx,505.78,514,8.22,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=ヌタノサコ(#40); candidate=summit-candidate:7d7066baad9d7077; track=""奥之城山・ヌタノサコ""; score=0.75; name_tier=strong; ele_diff=8.22m; loc=strong_overlap; act_conf=high"
41,城山,47,summit-candidate:c1f175d0616be696,0.75,medium,城山・水梨山・向山,yamap_2022-03-05_09_44.gpx,589.87,592,2.13,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=城山(#41); candidate=summit-candidate:c1f175d0616be696; track=""城山・水梨山・向山""; score=0.75; name_tier=strong; ele_diff=2.13m; loc=strong_overlap; act_conf=high"
42,水梨山,14,summit-candidate:0a765b89058b256b,0.75,medium,城山・水梨山・向山,yamap_2022-03-05_09_44.gpx,734.42,729,5.42,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=水梨山(#42); candidate=summit-candidate:0a765b89058b256b; track=""城山・水梨山・向山""; score=0.75; name_tier=strong; ele_diff=5.42m; loc=strong_overlap; act_conf=high"
43,向山,14,summit-candidate:07834c521328cc1d,0.69,medium,城山・水梨山・向山,yamap_2022-03-05_09_44.gpx,707.76,683,24.76,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=向山(#43); candidate=summit-candidate:07834c521328cc1d; track=""城山・水梨山・向山""; score=0.69; name_tier=strong; ele_diff=24.76m; loc=strong_overlap; act_conf=high"
44,稔山,21,summit-candidate:622b899de76208ef,0.75,medium,稔山,yamap_2022-03-09_10_20.gpx,911.08,917,5.92,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=稔山(#44); candidate=summit-candidate:622b899de76208ef; track=""稔山""; score=0.75; name_tier=strong; ele_diff=5.92m; loc=strong_overlap; act_conf=high"
45,菊ヶ森,21,summit-candidate:ab8cf0f07d2a219d,0.75,medium,菊ヶ森,yamap_2022-03-12_08_31.gpx,145.66,151,5.34,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,"mountain=菊ヶ森(#45); candidate=summit-candidate:ab8cf0f07d2a219d; track=""菊ヶ森""; score=0.75; name_tier=strong; ele_diff=5.34m; loc=strong_overlap; act_conf=high"
46,道後山,26,summit-candidate:7c680b0eed0187fa,0.75,medium,道後山,yamap_2022-03-12_09_19.gpx,221.10,224,2.9,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,"mountain=道後山(#46); candidate=summit-candidate:7c680b0eed0187fa; track=""道後山""; score=0.75; name_tier=strong; ele_diff=2.9m; loc=strong_overlap; act_conf=high"
47,倉谷山,30,summit-candidate:aba609f471e97e4a,0.69,medium,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,yamap_2022-03-13_09_49.gpx,405.40,420,14.6,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=倉谷山(#47); candidate=summit-candidate:aba609f471e97e4a; track=""倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯""; score=0.69; name_tier=strong; ele_diff=14.6m; loc=strong_overlap; act_conf=high"
48,芝ヶ峠,30,summit-candidate:079ae30d76fb11c2,0.75,medium,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,yamap_2022-03-13_09_49.gpx,280.85,282,1.15,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=芝ヶ峠(#48); candidate=summit-candidate:079ae30d76fb11c2; track=""倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯""; score=0.75; name_tier=strong; ele_diff=1.15m; loc=strong_overlap; act_conf=high"
49,大久保山,26,summit-candidate:5aff666aa93b3a17,0.75,medium,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,yamap_2022-03-20_07_06.gpx,181.12,175,6.12,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=大久保山(#49); candidate=summit-candidate:5aff666aa93b3a17; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.75; name_tier=strong; ele_diff=6.12m; loc=strong_overlap; act_conf=high"
50,八里ヶ峠,23,summit-candidate:5aff666aa93b3a17,0.75,medium,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,yamap_2022-03-20_07_06.gpx,181.12,182,0.88,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=八里ヶ峠(#50); candidate=summit-candidate:5aff666aa93b3a17; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.75; name_tier=strong; ele_diff=0.88m; loc=strong_overlap; act_conf=high"
51,中坂山,24,summit-candidate:452c10a1db199870,0.69,medium,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,yamap_2022-03-20_07_06.gpx,76.83,98,21.17,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=中坂山(#51); candidate=summit-candidate:452c10a1db199870; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.69; name_tier=strong; ele_diff=21.17m; loc=strong_overlap; act_conf=high"
52,天神山,19,summit-candidate:452c10a1db199870,0.69,medium,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,yamap_2022-03-20_07_06.gpx,76.83,47,29.83,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=天神山(#52); candidate=summit-candidate:452c10a1db199870; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.69; name_tier=strong; ele_diff=29.83m; loc=strong_overlap; act_conf=high"
53,室岡山,17,summit-candidate:452c10a1db199870,0.63,medium,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,yamap_2022-03-20_07_06.gpx,76.83,42,34.83,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=室岡山(#53); candidate=summit-candidate:452c10a1db199870; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.63; name_tier=strong; ele_diff=34.83m; loc=strong_overlap; act_conf=high"
54,潮見山,31,summit-candidate:3259dfe3d9ce60c5,0.69,medium,明神山・潮見山,yamap_2022-03-23_07_38.gpx,152.25,123,29.25,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=潮見山(#54); candidate=summit-candidate:3259dfe3d9ce60c5; track=""明神山・潮見山""; score=0.69; name_tier=strong; ele_diff=29.25m; loc=strong_overlap; act_conf=high"
55,明神山,24,summit-candidate:3259dfe3d9ce60c5,0.75,medium,明神山・潮見山,yamap_2022-03-23_07_38.gpx,152.25,161,8.75,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=明神山(#55); candidate=summit-candidate:3259dfe3d9ce60c5; track=""明神山・潮見山""; score=0.75; name_tier=strong; ele_diff=8.75m; loc=strong_overlap; act_conf=high"
56,潮見山,29,summit-candidate:45439217573adfc4,0.75,medium,明神山・潮見山,yamap_2022-03-23_07_38.gpx,210.94,214,3.06,,strong_overlap,high,true,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,"mountain=潮見山(#56); candidate=summit-candidate:45439217573adfc4; track=""明神山・潮見山""; score=0.75; name_tier=strong; ele_diff=3.06m; loc=strong_overlap; act_conf=high"
