mountain_no,mountain_name,candidate_count_original,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,combined_candidate_score,location_refined_candidate_score,candidate_rank_for_mountain,location_refined_rank_for_mountain,candidate_rank_for_summit_candidate,location_refined_rank_for_summit_candidate,confidence,review_priority,csv_municipality,csv_island,location_refinement_level,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,notes
267,東高月山,21,summit-candidate:7ceb76663c2bb81b,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,1155.4333072605007,1181,25.57,0.34,0.439,8,8,12,12,low,high,宇和島市,,exact_municipality_match,宇和島市,"野川, 宇和島市, 愛媛県, 798-8601, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,mountain=東高月山(#267); candidate=summit-candidate:7ceb76663c2bb81b; ref_score=0.439; ref_rank=8; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
267,東高月山,21,summit-candidate:67df63dc99cf8614,yamap_2024-04-07_06_45.gpx,二箆山・西雑誌山,1190.45,1181,9.45,0.33,0.3105,10,10,7,8,low,high,宇和島市,,boundary_tolerated_mismatch,,"ササミネ林道, 久万高原町, 上浮穴郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=東高月山(#267); candidate=summit-candidate:67df63dc99cf8614; ref_score=0.3105; ref_rank=10; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
267,東高月山,21,summit-candidate:ee9d736a090185dd,yamap_2022-04-22_17_29.gpx,碁石ヶ森,1188.1187548490348,1181,7.12,0.33,0.3105,11,11,8,8,low,high,宇和島市,,boundary_tolerated_mismatch,,"西予市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous|timezone_sensitive_activity_link,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,"mountain=東高月山(#267); candidate=summit-candidate:ee9d736a090185dd; ref_score=0.3105; ref_rank=11; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
267,東高月山,21,summit-candidate:0a89128346167f6e,yamap_2024-04-07_06_45.gpx,二箆山・西雑誌山,1158.3666666666668,1181,22.63,0.27,0.2595,12,12,15,17,none,high,宇和島市,,boundary_tolerated_mismatch,,"ササミネ林道, 久万高原町, 上浮穴郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=東高月山(#267); candidate=summit-candidate:0a89128346167f6e; ref_score=0.2595; ref_rank=12; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
267,東高月山,21,summit-candidate:0d157ed871f76807,yamap_2025-07-06_07_10.gpx,谷崎山,1210.7966666666669,1181,29.8,0.27,0.2595,13,13,15,18,none,high,宇和島市,,boundary_tolerated_mismatch,,"藤之石, 西条市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,"mountain=東高月山(#267); candidate=summit-candidate:0d157ed871f76807; ref_score=0.2595; ref_rank=13; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
267,東高月山,21,summit-candidate:77bb5774f7fa012e,yamap_2022-04-16_07_39.gpx,東三方ヶ森,1199.216666666667,1181,18.22,0.27,0.2595,14,14,11,13,none,high,宇和島市,,boundary_tolerated_mismatch,,"西条市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=東高月山(#267); candidate=summit-candidate:77bb5774f7fa012e; ref_score=0.2595; ref_rank=14; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
267,東高月山,21,summit-candidate:78274ad93e160452,yamap_2026-03-01_06_45.gpx,剣ノ山・三傍示山・塩塚峰,1152.4499999999998,1181,28.55,0.27,0.2595,15,15,14,15,none,high,宇和島市,,boundary_tolerated_mismatch,,"四国中央市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,"mountain=東高月山(#267); candidate=summit-candidate:78274ad93e160452; ref_score=0.2595; ref_rank=15; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
267,東高月山,21,summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,1160.4399999999998,1181,20.56,0.27,0.2595,16,16,17,19,none,high,宇和島市,,boundary_tolerated_mismatch,,"松野町, 北宇和郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,"mountain=東高月山(#267); candidate=summit-candidate:9186201ca03b041d; ref_score=0.2595; ref_rank=16; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
267,東高月山,21,summit-candidate:924ccfedeb6c2d2c,yamap_2023-04-04_12_51.gpx,黒森山,1151.5666666666666,1181,29.43,0.27,0.2595,17,17,16,17,none,high,宇和島市,,boundary_tolerated_mismatch,,"久万高原町, 上浮穴郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=東高月山(#267); candidate=summit-candidate:924ccfedeb6c2d2c; ref_score=0.2595; ref_rank=17; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
267,東高月山,21,summit-candidate:ad2256a1bfd3ef78,yamap_2023-11-11_07_17.gpx,四辻ノ森・三光ノ辻山,1157.3250757909168,1181,23.67,0.27,0.2595,18,18,16,18,none,high,宇和島市,,boundary_tolerated_mismatch,,"東川, 久万高原町, 上浮穴郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=東高月山(#267); candidate=summit-candidate:ad2256a1bfd3ef78; ref_score=0.2595; ref_rank=18; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
267,東高月山,21,summit-candidate:b58470f57bb41331,yamap_2023-10-22_06_44.gpx,二ノ岳・高森,1152.69,1181,28.31,0.27,0.2595,19,19,13,14,none,high,宇和島市,,boundary_tolerated_mismatch,,"中奥, 西条市, 愛媛県, 793-0214, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=東高月山(#267); candidate=summit-candidate:b58470f57bb41331; ref_score=0.2595; ref_rank=19; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
267,東高月山,21,summit-candidate:d659f1dc6e5fa0b5,yamap_2023-11-11_07_17.gpx,四辻ノ森・三光ノ辻山,1206.9212487152886,1181,25.92,0.27,0.2595,20,20,14,17,none,high,宇和島市,,boundary_tolerated_mismatch,,"東川, 久万高原町, 上浮穴郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=東高月山(#267); candidate=summit-candidate:d659f1dc6e5fa0b5; ref_score=0.2595; ref_rank=20; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
267,東高月山,21,summit-candidate:e084389cc60ad329,yamap_2022-05-05_13_29.gpx,陣ヶ森・前々司山・うなめご,1203.3533333333332,1181,22.35,0.27,0.2595,21,21,16,19,none,high,宇和島市,,boundary_tolerated_mismatch,,"久万高原町, 上浮穴郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=東高月山(#267); candidate=summit-candidate:e084389cc60ad329; ref_score=0.2595; ref_rank=21; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
268,高月山,30,summit-candidate:90c3723735d95c0d,yamap_2024-02-24_07_06.gpx,高月山・東高月山・郭公岳・櫨ヶ森・毛山,1224.2266666666667,1229,4.77,0.75,0.7875,1,1,1,1,medium,high,宇和島市,,exact_municipality_match,宇和島市,"滑床林道63支線, 宇和島市, 愛媛県, 798-8601, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,mountain=高月山(#268); candidate=summit-candidate:90c3723735d95c0d; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
268,高月山,30,summit-candidate:62351b8782d6f597,yamap_2024-02-24_07_06.gpx,高月山・東高月山・郭公岳・櫨ヶ森・毛山,1191.8999999999999,1229,37.1,0.63,0.6855,2,2,2,2,medium,high,宇和島市,,exact_municipality_match,宇和島市,"滑床林道63支線, 宇和島市, 愛媛県, 798-8601, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_candidate_for_multiple_mountains,mountain=高月山(#268); candidate=summit-candidate:62351b8782d6f597; ref_score=0.6855; ref_rank=2; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
