mountain_no,mountain_name,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_track_name,top_source_gpx_basename,candidate_center_municipality,mountain_source_municipality,candidate_municipality_stability,location_stability_bucket,municipality_relation,center_distance_to_boundary_m,all_cardinal_1km_same,distance_stable_interior,location_stability_review_priority,review_reason_codes,notes
420,"正木ノ森",19,summit-candidate:1c085703f9a891aa,0.8500,medium,"正木ノ森","yamap_2025-08-15_12_44.gpx","久万高原町","久万高原町",near_boundary,location_strong_match,same_municipality,23.891,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=正木ノ森(#420); candidate=summit-candidate:1c085703f9a891aa; track=""正木ノ森""; score=0.75; name_tier=strong; ele_diff=1.86m; loc=strong_overlap; act_conf=high"
421,"五段城",19,summit-candidate:00dfcd8bd36a1f00,0.7800,medium,"五段城","yamap_2025-08-15_11_47.gpx","久万高原町","久万高原町",near_boundary,location_strong_match,same_municipality,1.979,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=五段城(#421); candidate=summit-candidate:00dfcd8bd36a1f00; track=""五段城""; score=0.68; name_tier=strong; ele_diff=2.94m; loc=mismatch_warning; act_conf=high"
422,"天狗ノ森",9,summit-candidate:54dc6f5d29d60052,0.6800,medium,"天狗ノ森 ","yamap_2025-08-15_09_21.gpx","","久万高原町",outside_prefecture,location_uncertain_keep,candidate_outside_prefecture,,false,false,high,"top_1_but_ambiguous","mountain=天狗ノ森(#422); candidate=summit-candidate:54dc6f5d29d60052; track=""天狗ノ森 ""; score=0.68; name_tier=strong; ele_diff=5.42m; loc=mismatch_warning; act_conf=high"
423,"鶴ノ子ノ頭",14,summit-candidate:65906dbbd6e5b747,0.6900,medium,"鶴ノ子ノ頭・石鎚山","yamap_2025-09-07_08_00.gpx","","久万高原町",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,5.425,false,false,high,"top_1_but_ambiguous","mountain=鶴ノ子ノ頭(#423); candidate=summit-candidate:65906dbbd6e5b747; track=""鶴ノ子ノ頭・石鎚山""; score=0.69; name_tier=strong; ele_diff=10.68m; loc=strong_overlap; act_conf=high"
424,"千秋寺山",16,summit-candidate:084fa7c9e55252dc,0.5000,low,"野津子山・軽ノ山","yamap_2026-03-11_10_35.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,4582.652,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=千秋寺山(#424); candidate=summit-candidate:084fa7c9e55252dc; track=""野津子山・軽ノ山""; score=0.4; name_tier=none; ele_diff=8.84m; loc=strong_overlap; act_conf=high"
425,"黒川山",19,summit-candidate:6b97922a3935a9a5,0.7900,medium,"前社ヶ森・剣山・黒川山","yamap_2025-09-21_08_53.gpx","西条市","西条市",stable_interior,location_strong_match,same_municipality,2886.291,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=黒川山(#425); candidate=summit-candidate:6b97922a3935a9a5; track=""前社ヶ森・剣山・黒川山""; score=0.69; name_tier=strong; ele_diff=10.31m; loc=strong_overlap; act_conf=high"
426,"前社ヶ森",12,summit-candidate:109bc31ba8b3aa15,0.7300,medium,"前社ヶ森・剣山・黒川山","yamap_2025-09-21_08_53.gpx","西条市","西条市",stable_cardinal_1km_same,location_strong_match,same_municipality,983.822,true,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=前社ヶ森(#426); candidate=summit-candidate:109bc31ba8b3aa15; track=""前社ヶ森・剣山・黒川山""; score=0.63; name_tier=strong; ele_diff=35.08m; loc=strong_overlap; act_conf=high"
427,"剣山",14,summit-candidate:109bc31ba8b3aa15,0.8500,medium,"前社ヶ森・剣山・黒川山","yamap_2025-09-21_08_53.gpx","西条市","西条市",stable_cardinal_1km_same,location_strong_match,same_municipality,983.822,true,false,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=剣山(#427); candidate=summit-candidate:109bc31ba8b3aa15; track=""前社ヶ森・剣山・黒川山""; score=0.75; name_tier=strong; ele_diff=0.08m; loc=strong_overlap; act_conf=high"
428,"東光森山",9,summit-candidate:6358c7fb40ce841e,0.7500,medium,"東光森山・別子山","yamap_2025-09-27_06_52.gpx","","新居浜市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,6.987,false,false,high,"top_1_but_ambiguous","mountain=東光森山(#428); candidate=summit-candidate:6358c7fb40ce841e; track=""東光森山・別子山""; score=0.75; name_tier=strong; ele_diff=5.07m; loc=strong_overlap; act_conf=high"
429,"別子山",18,summit-candidate:69652a1c97f3b2eb,0.7500,medium,"東光森山・別子山","yamap_2025-09-27_06_52.gpx","","新居浜市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,1.656,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=別子山(#429); candidate=summit-candidate:69652a1c97f3b2eb; track=""東光森山・別子山""; score=0.75; name_tier=strong; ele_diff=4.56m; loc=strong_overlap; act_conf=high"
