No,山名,標高,登頂回数,YAMAP link,GPS,市町村・島,年,シカ,月,備考,分県登山ガイド（2008）,分県登山ガイド（2016）,四国の1000m峰（2015）,四国百山,百名山,愛媛ゆうゆう山歩き
82,陣ヶ森,"1,207",1,https://yamap.com/activities/17142799,,東温市,2022,,5月,,,,〇,,,
83,寒川山,817,1,https://yamap.com/activities/17193098,,四国中央市,2022,〇,5月,,,,,,,
84,豊受山,"1,247",1,https://yamap.com/activities/17193098,,四国中央市,2022,〇,5月,,〇,〇,〇,,☆,★
85,赤星山,"1,453",1,https://yamap.com/activities/17193098,,四国中央市,2022,〇,5月,,〇,〇,〇,★,☆,★
86,七々木山,"1,145",1,https://yamap.com/activities/17193098,,四国中央市,2022,〇,5月,,,,,,,
87,鋸山,"1,017",1,https://yamap.com/activities/17193098,,四国中央市,2022,〇,5月,,,〇,〇,,,
88,翠波峰,891,1,https://yamap.com/activities/17193111,,四国中央市,2022,〇,5月,,〇,〇,,★,☆,★
89,平石山,826,1,https://yamap.com/activities/17195739,,四国中央市,2022,〇,5月,,,,,,,★
90,割石東山,"1,074",1,https://yamap.com/activities/17344616,,久万高原町,2022,〇,5月,,,,〇,,,★
91,青滝山,"1,303",1,https://yamap.com/activities/17344616,,久万高原町,2022,〇,5月,,,,〇,,,★
92,堂ヶ森,"1,689",1,https://yamap.com/activities/17344616,,久万高原町,2022,〇,5月,,〇,〇,〇,,☆,★
93,南尖峰,"1,982",1,https://yamap.com/activities/17465823,,久万高原町,2022,,5月,,〇,〇,〇,,,
94,自念子ノ頭,"1,702",1,https://yamap.com/activities/17536161,,西条市,2022,,5月,,,,〇,,,
95,勝山,131,1,https://yamap.com/activities/17745232,,松山市,2022,,6月,,,,,,,
96,姫草,"1,274",1,https://yamap.com/activities/17955297,,西予市,2022,,6月,,,,〇,,,
97,牛城,"1,342",1,https://yamap.com/activities/17956064,,西予市,2022,,6月,,,,〇,,,
98,積善山,370,1,https://yamap.com/activities/17985256,,岩城島,2022,,6月,,,〇,,,,
99,鉢巻山,142,1,https://yamap.com/activities/17993401,,生名島,2022,,6月,,,,,,,
100,立石山,139,1,https://yamap.com/activities/17999330,,生名島,2022,,6月,,,,,,,
101,鷲ヶ頭山,436,1,https://yamap.com/activities/18060852,,大三島,2022,,6月,,〇,〇,,,☆,★
102,安神山,267,1,https://yamap.com/activities/18060852,,大三島,2022,,6月,,,,,,,
103,篠山,"1,065",1,https://yamap.com/activities/18089469,,愛南町,2022,〇,6月,,〇,〇,〇,★,☆,★
104,横山(横山城址),453,1,https://yamap.com/activities/18196317,,松山市,2022,,6月,,,,,,,
105,鞍瀬ノ頭,"1,889",1,https://yamap.com/activities/18250101,,久万高原町,2022,,7月,,,,,,,
106,二ノ森,"1,930",1,https://yamap.com/activities/18250101,,久万高原町,2022,,7月,,〇,〇,〇,★,☆,★
107,面河の頭,"1,866",1,https://yamap.com/activities/18250101,,久万高原町,2022,,7月,,,,,,,
108,西ノ冠岳,"1,890",1,https://yamap.com/activities/18250101,,久万高原町,2022,,7月,,,,〇,,,
109,西黒森,"1,861",1,https://yamap.com/activities/18371502,,西条市,2022,,7月,,,,〇,★,☆,★
110,小富士,282,1,https://yamap.com/activities/18427906,,興居島,2022,,7月,,〇,〇,,,,★
111,龍石山,32,1,https://yamap.com/activities/18428061,,興居島,2022,,7月,,,,,,,
112,子持山,123,1,https://yamap.com/activities/18543106,,興居島,2022,,7月,,,,,,,
113,大峰ヶ台,141,2,https://yamap.com/activities/19164431,,松山市,2022,,8月,,,,,,,
114,世田山,339,1,https://yamap.com/activities/19222937,,今治市,2022,,8月,,〇,〇,,,,
115,笠松山,357,1,https://yamap.com/activities/19222937,,今治市,2022,,8月,,〇,〇,,,,★
116,北三方ヶ森,978,1,https://yamap.com/activities/19236411,,松山市,2022,〇,8月,,〇,〇,,,,★
117,大友山,407,1,https://yamap.com/activities/19400534,,松山市,2022,,9月,,,,,,,
118,湯築山,71,1,https://yamap.com/activities/19437997,,松山市,2022,,9月,,,,,,,
119,寒風山,"1,762",1,https://yamap.com/activities/19457807,,西条市,2022,〇,9月,,〇,〇,〇,★,☆,★
120,ちち山,"1,855",2,https://yamap.com/activities/48114780,,西条市,2022,〇,9月,,,〇,〇,,,
121,笹ヶ峰,"1,860",2,https://yamap.com/activities/48114780,,西条市,2022,〇,9月,,〇,〇,〇,★,☆,★
122,松軒山,190,1,https://yamap.com/activities/19588038,,愛南町,2022,,9月,,,,,,,
123,三山,325,1,https://yamap.com/activities/19600002,,弓削島,2022,,9月,,,,,,,
124,伊勢山,57,1,https://yamap.com/activities/19600557,,弓削島,2022,,9月,,,,,,,
125,久司山,142,1,https://yamap.com/activities/19601222,,弓削島,2022,,9月,,,,,,,
126,石灰山,216,1,https://yamap.com/activities/19604820,,弓削島,2022,,9月,,,,,,,
127,古法皇山,279,1,https://yamap.com/activities/19604820,,弓削島,2022,,9月,,,,,,,
128,狩江権現山,464,1,https://yamap.com/activities/19698405,,西予市,2022,,9月,,,,,,,
129,極山,561,1,https://yamap.com/activities/19698830,,西予市,2022,,9月,,,,,,,
130,高文殊山,221,1,https://yamap.com/activities/19708205,,四国中央市,2022,,9月,,,,,,,
131,三本榎,256,1,https://yamap.com/activities/19830861,,大三島,2022,,9月,,,,,,,
132,鏡山,212,1,https://yamap.com/activities/19833941,,大三島,2022,,9月,,,,,,,
133,戸祇御前山,946,1,https://yamap.com/activities/19911171,,鬼北町,2022,〇,10月,,,〇,,,,★
134,雄甲山,239,1,https://yamap.com/activities/20017361,,松山市,2022,,10月,,,,,,,
135,雌甲山,189,1,https://yamap.com/activities/20017361,,松山市,2022,,10月,,,,,,,
136,泉ガ森,755,1,https://yamap.com/activities/20029187,,鬼北町,2022,〇,10月,,,〇,,,,★
137,東山,"1,392",1,https://yamap.com/activities/21698197,,松山市,2022,,10月,,,,,,,
138,前赤石山,"1,677",1,https://yamap.com/activities/20086190,,新居浜市,2022,〇,10月,,,,〇,,,
139,黒崎山,57,1,https://yamap.com/activities/20172197,,興居島,2022,,10月,,,,,,,
140,高戸山,115,1,https://yamap.com/activities/20211117,,興居島,2022,,10月,,,,,,,
141,犬吠山,124,1,https://yamap.com/activities/20212951,,興居島,2022,,10月,,,,,,,
142,泰の山,115,1,https://yamap.com/activities/20216474,,興居島,2022,,10月,,,,,,,
143,中三方ヶ森,"1,229",1,https://yamap.com/activities/20299413,,今治市,2022,〇,10月,,,,,,,
144,古権現山,"1,003",1,https://yamap.com/activities/20299413,,今治市,2022,〇,10月,,,,,,,
145,楢原山,"1,041",1,https://yamap.com/activities/20299413,,今治市,2022,〇,10月,,〇,〇,〇,★,☆,★
146,西港山,52,1,https://yamap.com/activities/20348452,,松山市,2022,,10月,,,,,,,
147,大丸山,76,1,https://yamap.com/activities/20348452,,松山市,2022,,10月,,,,,,,
148,港山,42,1,https://yamap.com/activities/20348452,,松山市,2022,,10月,,,,,,,
149,すくも山,41,1,https://yamap.com/activities/20370835,,西条市,2022,,10月,,,,,,,
150,愛ノ山,198,1,https://yamap.com/activities/20375635,,西条市,2022,〇,10月,,,,,,,
151,冨士山,320,1,https://yamap.com/activities/20527420,,宇和島市,2022,,10月,,,,,,,
152,割石峠山,"1,037",1,https://yamap.com/activities/20542185,,東温市,2022,〇,10月,,,,,,,
153,石墨山,"1,456",1,https://yamap.com/activities/20542185,,東温市,2022,〇,10月,,〇,〇,〇,★,☆,★
154,法師山,"1,310",1,https://yamap.com/activities/20542185,,東温市,2022,,10月,,,,,,,
155,白猪山,"1,202",1,https://yamap.com/activities/20542185,,東温市,2022,〇,10月,,,,,,,
156,梅ヶ谷山,"1,316",1,https://yamap.com/activities/20542185,,東温市,2022,,10月,,,〇,,,,
157,樽谷山,"1,255",1,https://yamap.com/activities/20542185,,東温市,2022,,10月,,,,〇,,,
158,根無山,"1,241",1,https://yamap.com/activities/20542185,,東温市,2022,,10月,,,,,,,
159,権現山,"1,594",2,https://yamap.com/activities/20769524,,新居浜市,2022,〇,11月,,,,〇,,,
160,黒岳,"1,636",1,https://yamap.com/activities/20769524,,新居浜市,2022,〇,11月,,,〇,〇,,,
161,エビラ山,"1,673",1,https://yamap.com/activities/20769524,,新居浜市,2022,〇,11月,,,〇,〇,,,
162,二ッ岳,"1,647",1,https://yamap.com/activities/20769524,,新居浜市,2022,〇,11月,,〇,〇,〇,★,☆,★
163,鹿島山,114,1,https://yamap.com/activities/20840182,,松山市,2022,〇,11月,,,,,,,
164,出石山,812,1,https://yamap.com/activities/20978991,,大洲市,2022,,11月,,,,,★,,★
165,綱繰山,"1,466",1,https://yamap.com/activities/21174105,,新居浜市,2022,〇,11月,,,,,,,
166,獅子舞の鼻,"1,482",1,https://yamap.com/activities/21174105,,新居浜市,2022,〇,11月,,,,,,,
167,冠山,"1,731",1,https://yamap.com/activities/21174105,,新居浜市,2022,〇,11月,,,〇,〇,,,
168,遠ヶ森,728,1,https://yamap.com/activities/21456728,,松山市,2022,〇,12月,,,,,,,
169,扇山,200,1,https://yamap.com/activities/21457449,,砥部町,2022,,12月,,,,,,,
170,高山,135,1,https://yamap.com/activities/21589436,,今治市,2022,,12月,,,,,,,
171,塔ノ峰,150,1,https://yamap.com/activities/21590134,,今治市,2022,,12月,,,,,,,
172,海山,155,1,https://yamap.com/activities/21590913,,今治市,2022,,12月,,,,,,,
173,近見山,244,1,https://yamap.com/activities/21592956,,今治市,2022,,12月,,,,,,,
174,唐子山,105,1,https://yamap.com/activities/21596150,,今治市,2022,,12月,,,,,,,
175,医王山,100,1,https://yamap.com/activities/21599402,,西条市,2022,,12月,,,,,,,
176,永納山(永納山城址),132,1,https://yamap.com/activities/21602602,,西条市,2022,,12月,,,,,,,
177,佐々久山,56,1,https://yamap.com/activities/21605174,,西条市,2022,,12月,,,,,,,
178,土亀山,50,1,https://yamap.com/activities/21696855,,松山市,2022,,12月,,,,,,,
179,天山,51,1,https://yamap.com/activities/21697421,,松山市,2022,,12月,,,,,,,
180,東山,49,1,https://yamap.com/activities/20086190,,新居浜市,2022,〇,12月,,,,,,,
181,星岡山,75,1,https://yamap.com/activities/21699312,,松山市,2022,,12月,,,,,,,
182,河原樋山,864,1,https://yamap.com/activities/21774169,,松山市,2023,〇,1月,,,,,,,
183,真松嶺,548,1,https://yamap.com/activities/21774169,,松山市,2023,〇,1月,,,,,,,
184,柿王寺森,545,1,https://yamap.com/activities/21774169,,松山市,2023,〇,1月,,,,,,,
185,岩子山,111,1,https://yamap.com/activities/21828514,,松山市,2023,,1月,,,,,,,
186,垣生山,118,1,https://yamap.com/activities/21828514,,松山市,2023,,1月,,,,,,,
187,津田山,110,1,https://yamap.com/activities/21828514,,松山市,2023,,1月,,,,,,,
188,弁天山,130,1,https://yamap.com/activities/21828514,,松山市,2023,,1月,,,,,,,
189,権現山,491,1,https://yamap.com/activities/21864997,,愛南町,2023,,1月,,,,,,,
190,黒瀬山（黒瀬城址）,341,1,https://yamap.com/activities/21888400,,西予市,2023,,1月,,,,,,,
191,岡山（岡城址）,360,1,https://yamap.com/activities/21888400,,西予市,2023,,1月,,,,,,,
